price.2025	price.2003	livingArea	lotSize	age	landValue.2003	pctCollege	fireplaces	rooms	heating	fuel	sewer	waterfront	newConstruction	centralAir	bedrooms	bathrooms
462873	169900	1884	0.59	22	17300	52	1	9	hot air	gas	septic	No	No	No	3	2.5
578475	245900	2394	1.19	22	20700	71	1	7	hot air	gas	none	No	No	Yes	4	2.5
360202	157000	1390	0.46	67	20200	71	1	6	hot air	gas	septic	No	No	No	3	1.5
436298	195000	1954	0.41	54	27100	71	0	8	hot air	gas	septic	No	No	Yes	4	2.5
346336	150000	1554	0.78	76	24500	71	1	5	hot air	oil	septic	No	No	Yes	3	1.5
485617	234900	1976	0.89	31	41600	64	0	6	hot air	gas	public/commercial	No	No	Yes	3	2
436166	134900	1782	0.24	32	8000	52	0	6	hot air	gas	public/commercial	No	No	Yes	3	2.5
368868	142000	1426	0.55	42	13800	52	1	6	hot air	gas	septic	No	No	No	3	2
386886	125000	1404	0.34	54	11100	52	0	5	hot air	gas	septic	No	No	No	3	2
271292	88000	1480	0.19	37	3400	52	1	5	hot water/steam	gas	public/commercial	No	No	Yes	3	1.5
370126	135000	1344	0.73	157	8100	52	0	5	hot water/steam	gas	public/commercial	No	No	No	3	1.5
296912	90000	1480	0.07	36	1800	52	1	5	hot air	gas	public/commercial	No	No	Yes	2	2.5
374417	126900	1596	0.25	32	8400	52	0	6	hot air	gas	public/commercial	No	No	No	3	2.5
441341	175000	1768	1.47	37	27200	52	1	5	electric	electric	septic	No	No	No	3	2
296048	92000	1480	0.07	36	1800	52	1	8	hot air	gas	public/commercial	No	No	No	3	1.5
360857	140000	1576	0.23	47	8300	52	1	5	hot air	gas	public/commercial	No	No	Yes	4	1.5
642333	200640	2332	0.58	22	32000	52	0	9	hot air	gas	public/commercial	No	Yes	No	4	2.5
563554	225000	2428	0.5	34	15300	52	1	11	hot air	gas	public/commercial	No	No	Yes	4	2.5
433613	182000	1310	1.23	38	26600	52	1	7	electric	electric	septic	No	No	No	3	2
498911	208767	1662	0.56	22	32000	52	0	7	hot air	gas	public/commercial	No	Yes	Yes	3	2
547045	186000	2000	0.55	22	4400	52	0	7	hot air	gas	public/commercial	No	Yes	No	4	2.5
417886	161000	1542	0.31	32	10400	52	0	5	hot air	gas	public/commercial	No	No	Yes	3	2.5
636264	211002	2195	0.56	22	32000	52	0	8	hot air	gas	public/commercial	No	Yes	No	4	2.5
302394	115000	1480	0.06	36	1600	52	1	6	hot air	gas	public/commercial	No	No	No	3	1.5
339505	113000	1452	0.46	75	9200	52	0	7	hot water/steam	oil	septic	No	No	Yes	3	2
539940	216300	2360	0.6	22	32000	52	0	10	hot air	gas	public/commercial	No	Yes	No	4	2.5
350342	145000	1440	3.12	54	19000	52	1	8	hot air	oil	septic	No	No	No	4	1
291120	114000	1480	0.06	36	1600	52	1	5	hot air	electric	public/commercial	No	No	No	2	2.5
281671	104000	1480	0.06	36	1600	52	0	6	hot air	gas	public/commercial	No	No	No	3	1.5
430871	169900	1792	0.26	33	8700	52	0	8	hot air	gas	public/commercial	No	No	No	3	2.5
470664	177900	1386	1.29	24	25000	44	0	5	hot air	gas	septic	No	No	No	3	2.5
414414	117000	1676	0.53	37	18900	51	1	9	electric	electric	septic	No	No	No	4	1.5
406480	150000	1656	0.78	33	19400	51	0	6	electric	electric	none	No	No	No	3	1.5
533446	187500	2300	1.38	33	20600	51	1	7	electric	electric	septic	No	No	No	3	1.5
341032	107000	1712	0.46	47	18700	51	1	6	hot air	gas	septic	No	No	No	3	1
370394	126900	1350	0.46	48	18700	51	0	5	hot air	gas	septic	No	No	No	3	1.5
423704	147000	1676	0.57	37	18900	51	1	6	hot air	gas	septic	No	No	No	3	2.5
348133	101000	1056	0.87	52	8700	51	1	8	hot air	gas	septic	No	No	No	3	2
353266	143500	912	1.05	35	19900	51	0	7	hot air	gas	septic	No	No	No	3	1
316320	113400	1232	0.93	40	4500	44	0	3	electric	electric	septic	No	No	No	2	1.5
298189	110000	936	0.59	34	3100	44	0	6	hot air	gas	septic	No	No	Yes	3	1
328742	108000	1653	1.32	55	6500	44	1	4	hot water/steam	oil	septic	No	No	No	3	1.5
459116	138000	1840	0.83	38	3700	44	1	8	hot air	gas	septic	No	No	Yes	3	2.5
520668	218070	2268	2.4	22	3500	44	0	8	hot water/steam	gas	septic	No	Yes	No	4	2.5
296392	112000	1288	0.27	61	3800	44	0	5	hot water/steam	gas	public/commercial	No	No	No	3	1
303301	97000	1410	0.36	66	3600	44	0	6	hot water/steam	gas	septic	No	No	No	4	1.5
152726	65720	1198	0.19	145	2100	44	0	5	hot water/steam	gas	public/commercial	No	No	No	3	1
483025	225000	2228	0.38	32	6600	44	1	8	hot air	gas	septic	No	No	Yes	4	2.5
428792	192000	1872	0.82	22	5000	44	1	9	hot air	gas	septic	No	Yes	Yes	3	2.5
230733	90000	900	0.29	105	3900	44	0	7	hot air	gas	public/commercial	No	No	No	2	1.5
434651	174000	2186	1.09	31	3000	44	1	7	hot water/steam	gas	septic	No	No	No	4	2.5
346531	150000	1344	0.52	34	4500	44	1	7	hot air	gas	septic	No	No	No	3	2
354102	139062	1490	0.69	55	6500	44	2	6	hot water/steam	gas	septic	No	No	No	3	2
268257	84950	840	0.31	22	15000	51	0	3	hot air	gas	public/commercial	No	Yes	No	2	1
353463	146000	1456	3.17	55	41800	41	1	6	hot air	oil	septic	No	No	No	3	1.5
340285	125000	1224	0.34	66	19000	71	0	4	hot air	oil	septic	No	No	No	3	1
321924	135000	1411	0.38	70	21300	71	1	5	hot air	gas	septic	No	No	No	3	1
373927	157500	1608	1.96	51	39700	71	1	5	hot air	oil	septic	No	No	No	3	1.5
399192	142900	1898	0.33	54	22500	64	1	7	hot water/steam	gas	public/commercial	No	No	No	3	1.5
647373	259900	2544	0.46	23	36600	64	1	9	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
260263	85000	1038	0.29	38	22100	64	0	7	electric	electric	public/commercial	No	No	No	2	1
507393	180377	1820	0.35	23	37000	64	1	6	hot air	gas	public/commercial	No	Yes	No	3	2.5
359249	106500	2387	0.52	75	20300	64	0	6	hot air	oil	septic	No	No	No	3	1
497117	206000	2011	0.51	37	39600	64	1	7	hot air	gas	public/commercial	No	No	Yes	3	2.5
287532	120000	1148	0.21	37	28800	64	1	3	hot air	gas	public/commercial	No	No	Yes	2	1.5
502361	205980	1983	0.6	23	45200	64	1	5	hot air	gas	public/commercial	No	Yes	Yes	3	2.5
519841	172750	1747	0.36	23	37100	64	0	5	hot air	gas	public/commercial	No	Yes	No	3	2.5
618302	270000	2410	0.48	32	37800	64	1	11	hot air	gas	public/commercial	No	No	Yes	4	2.5
699420	379000	3173	0.68	31	57200	64	1	12	hot air	gas	public/commercial	No	No	Yes	4	2.5
695635	349900	2957	0.62	29	57800	64	1	11	hot air	gas	public/commercial	No	No	Yes	4	2.5
544881	211950	2342	0.9	23	29200	64	1	8	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
573559	227812	2206	0.47	22	37200	64	1	10	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
491100	164400	1516	0.34	23	36200	64	1	5	hot air	gas	public/commercial	No	Yes	Yes	3	2
343175	139900	1256	0.29	37	35200	64	0	7	hot air	gas	public/commercial	No	No	Yes	2	1.5
568806	279900	2258	0.47	28	20000	64	1	10	hot air	gas	public/commercial	No	No	Yes	4	3.5
520958	225000	2129	0.32	22	53900	64	1	9	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
347570	144500	1348	0.12	37	16800	64	1	4	hot air	gas	public/commercial	No	No	Yes	2	2.5
681816	362710	2963	1	22	24300	64	1	10	hot air	gas	septic	No	Yes	Yes	4	2.5
257078	120000	1144	0.18	38	21400	64	1	7	electric	electric	public/commercial	No	No	Yes	2	1
518970	228500	1475	0.46	31	45800	64	0	4	hot air	gas	public/commercial	No	No	No	3	2
460812	230000	1912	0.93	70	23500	64	1	10	hot water/steam	gas	septic	No	No	No	5	2
413647	175000	1596	0.26	38	30100	64	1	6	hot air	gas	public/commercial	No	No	Yes	3	2
672010	263008	2665	0.63	22	24400	64	1	11	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
584712	265000	1917	0.7	31	40500	64	1	5	hot air	gas	public/commercial	No	No	No	3	2.5
282081	125000	1140	0.28	38	22000	64	1	6	hot air	gas	public/commercial	No	No	Yes	2	2
787644	362360	3020	0.59	22	153800	64	1	9	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
271880	91000	912	0.16	41	15700	52	1	5	electric	electric	public/commercial	No	No	No	2	1.5
414462	148000	1561	0.33	39	27000	52	1	6	hot air	gas	public/commercial	No	No	No	3	1.5
485882	182000	2625	0.56	52	26400	64	1	8	hot water/steam	gas	public/commercial	No	No	No	4	2.5
271468	97000	912	0.16	41	15700	52	0	3	electric	electric	public/commercial	No	No	No	2	1.5
505964	179900	2304	0.81	47	25000	52	1	9	electric	electric	septic	No	No	No	4	2.5
284674	84000	912	0.15	41	15700	52	0	7	electric	electric	public/commercial	No	No	No	2	1.5
305451	117900	1385	0.15	39	15100	52	1	7	hot air	gas	public/commercial	No	No	Yes	2	1.5
283566	92500	912	0.15	40	15700	52	0	4	electric	electric	public/commercial	No	No	No	2	1.5
269648	102900	912	0.15	39	15700	52	0	3	electric	gas	public/commercial	No	No	No	2	1.5
429073	150000	1277	0.77	29	30000	52	0	4	hot air	gas	public/commercial	No	No	No	3	1.5
426274	165000	1433	0.42	32	26200	64	1	5	hot air	gas	septic	No	No	Yes	3	2
335784	105400	1240	0.15	37	15100	52	0	7	electric	electric	public/commercial	No	No	No	3	2
273640	100600	912	0.17	41	15800	52	0	6	electric	electric	public/commercial	No	No	No	2	1.5
295000	108900	912	0.17	41	15800	52	0	3	hot air	gas	public/commercial	No	No	No	2	1.5
320633	109900	1184	0.16	41	15100	52	0	8	hot water/steam	gas	public/commercial	No	No	No	3	2
317388	120000	1184	0.16	40	15100	52	0	5	electric	electric	public/commercial	No	No	No	3	2
261708	107500	912	0.15	38	15700	52	0	4	hot air	gas	public/commercial	No	No	No	2	1.5
340994	118000	1184	0.16	41	15100	52	0	6	hot air	gas	public/commercial	No	No	No	3	2
249791	107200	908	0.16	41	15700	52	0	6	hot air	gas	public/commercial	No	No	No	2	1
467409	180000	1820	3.06	38	5900	39	1	5	hot air	gas	septic	No	No	No	3	2
559163	214325	2606	0.42	22	13000	64	1	9	hot air	gas	public/commercial	No	Yes	Yes	4	2.5
319274	128850	824	0.92	38	5500	45	0	5	electric	electric	septic	No	No	No	2	1.5
571712	208700	2438	0.4	22	15000	64	1	9	hot air	gas	public/commercial	No	No	No	3	2.5
360930	139900	1356	0.36	44	10500	64	0	4	electric	electric	public/commercial	No	No	No	3	1.5
741971	350000	3008	6.84	34	20000	64	1	9	hot air	gas	public/commercial	No	No	Yes	3	2.5
282566	108000	1032	0.16	41	15100	52	0	4	electric	electric	public/commercial	No	No	No	2	1.5
402427	135000	1508	0.33	39	27000	52	1	8	hot air	gas	public/commercial	No	No	No	3	1.5
552496	233000	2040	1.09	34	31200	52	1	7	hot air	gas	septic	No	No	Yes	4	2.5
270604	105000	912	0.16	39	15700	52	1	5	electric	electric	public/commercial	No	No	No	2	1.5
386856	139000	1304	0.58	47	25000	64	0	8	electric	electric	public/commercial	No	No	No	3	2
487551	209500	1794	0.42	32	26200	64	1	8	hot air	gas	septic	No	No	Yes	4	2.5
413229	150500	1527	0.31	38	27000	52	1	7	electric	electric	public/commercial	No	No	No	2	2
333574	114000	1700	0.26	48	4600	39	1	4	hot water/steam	oil	public/commercial	No	No	No	3	1
390317	160000	1680	0.45	49	7000	45	0	9	electric	electric	public/commercial	No	No	No	4	1
350397	140000	1344	0.48	45	10400	64	0	8	electric	electric	public/commercial	No	No	No	3	1.5
420000	205000	1992	0.25	42	29000	64	1	9	hot air	gas	public/commercial	No	No	No	5	3
250220	79900	924	0.12	41	18200	64	0	7	hot air	gas	public/commercial	No	No	Yes	2	1
293743	139000	1290	0.09	46	17600	64	1	3	hot air	gas	public/commercial	No	No	Yes	2	1.5
383058	151500	1377	0.71	80	22700	82	1	7	hot water/steam	oil	public/commercial	No	No	No	3	1.5
265106	97500	1237	0.06	41	16400	64	1	6	hot air	gas	public/commercial	No	No	Yes	2	1.5
489448	194500	2310	0.61	63	32300	64	1	7	hot water/steam	gas	public/commercial	No	No	Yes	4	2.5
508273	195160	1863	0.32	22	35000	64	1	9	hot air	gas	public/commercial	No	No	No	3	2.5
417480	152500	1693	0.37	48	37500	64	1	8	hot air	gas	public/commercial	No	No	Yes	3	1.5
410421	159500	1684	0.29	48	31400	64	1	4	hot air	gas	public/commercial	No	No	Yes	3	2.5
398835	185000	1585	0.95	38	40900	64	1	4	electric	electric	public/commercial	No	No	Yes	3	1.5
618256	240000	2290	0.67	30	72400	64	1	9	hot air	gas	public/commercial	No	No	Yes	4	3
462058	187900	2412	0.4	54	30000	64	1	9	hot air	gas	public/commercial	No	No	Yes	5	2.5
607718	262000	2549	0.29	27	29000	64	1	12	hot air	gas	public/commercial	No	No	Yes	4	2.5
558605	212500	2316	0.35	28	36500	64	1	7	hot air	gas	public/commercial	No	No	Yes	4	2.5
513385	220000	2600	1.37	40	43000	64	1	8	hot air	gas	septic	No	No	Yes	4	2.5
264049	120000	1479	0.06	41	16400	64	0	4	electric	electric	public/commercial	No	No	Yes	3	1.5
287115	102500	1154	0.15	38	18500	64	0	7	electric	electric	public/commercial	No	No	Yes	2	1
542697	212500	2084	0.43	32	52200	82	1	9	hot air	gas	public/commercial	No	No	Yes	4	2.5
467120	205900	1726	1.06	48	35900	64	1	8	hot air	gas	public/commercial	No	No	Yes	3	2
485972	191500	2576	0.88	55	35900	64	1	10	hot water/steam	gas	public/commercial	No	No	No	4	2.5
410643	158000	1664	0.55	58	30500	64	1	8	hot water/steam	gas	public/commercial	No	No	No	3	2
444287	195000	1274	1.87	46	46000	64	0	3	electric	electric	septic	No	No	No	2	1.5
533184	187500	2662	0.43	51	31400	64	1	9	hot air	gas	public/commercial	No	No	Yes	5	2.5
353772	137500	1566	0.1	34	18000	64	0	7	hot air	gas	public/commercial	No	No	Yes	3	2.5
303117	109900	1342	0.09	38	17600	64	1	4	hot air	gas	public/commercial	No	No	Yes	2	1.5
261726	85000	1480	0.09	40	17600	64	0	8	hot water/steam	gas	public/commercial	No	No	No	3	1.5
509145	184350	2161	0.59	22	38400	64	1	11	hot air	gas	public/commercial	No	No	No	4	2.5
336194	134500	1352	0.16	32	18600	64	1	3	hot air	gas	public/commercial	No	No	Yes	2	1.5
649406	255000	2936	0.46	47	60500	64	1	12	hot air	gas	public/commercial	No	No	Yes	3	3.5
576397	238600	2404	0.46	23	36400	64	1	10	hot air	gas	public/commercial	No	No	No	4	2.5
363175	106000	1738	0.42	58	30900	64	0	9	hot air	gas	public/commercial	No	No	No	3	1.5
485619	195000	2576	0.55	56	30500	64	1	12	hot water/steam	gas	public/commercial	No	No	No	4	2.5
406373	168500	1586	0.44	56	31800	64	1	7	hot air	gas	public/commercial	No	No	No	3	1.5
504556	215000	1917	0.5	37	37000	64	1	7	hot air	gas	public/commercial	No	No	No	4	2.5
442924	197500	2000	0.3	52	24500	64	1	9	hot air	gas	public/commercial	No	No	Yes	3	1.5
540752	215000	2110	0.33	25	11600	64	1	8	hot air	gas	public/commercial	No	No	Yes	4	2.5
289945	118000	1479	0.14	41	18400	64	0	5	hot air	gas	public/commercial	No	No	No	3	1.5
478945	187900	2576	0.69	56	34700	64	1	9	hot water/steam	gas	public/commercial	No	No	No	5	2.5
604024	275000	2443	0.38	40	60800	82	2	9	hot air	gas	public/commercial	No	No	Yes	3	2.5
607615	249900	2185	0.74	36	73800	64	1	7	hot air	gas	public/commercial	No	No	Yes	3	2.5
635966	270000	2078	1.38	40	82800	64	1	8	hot air	electric	septic	No	No	Yes	4	2.5
406692	157900	1703	0.38	59	29100	64	1	5	hot air	gas	public/commercial	No	No	No	3	1.5
290635	126400	1375	0.28	44	19500	64	1	7	electric	electric	public/commercial	No	No	Yes	2	1.5
445133	180000	1718	0.26	53	21900	64	1	9	hot air	gas	public/commercial	No	No	Yes	3	1.5
430000	203600	2576	0.59	55	31700	64	1	9	hot water/steam	gas	public/commercial	No	No	No	4	2.5
556528	249900	2280	0.37	26	37500	64	1	7	hot air	gas	public/commercial	No	No	No	4	2.5
460668	193000	2088	0.4	40	25000	64	1	10	hot water/steam	gas	public/commercial	No	No	No	4	2.5
539648	201000	3140	0.54	51	30200	64	1	10	hot water/steam	gas	public/commercial	No	No	No	5	3.5
479936	195000	1896	0.35	58	39800	64	1	7	hot air	gas	public/commercial	No	No	Yes	4	2.5
469547	215900	2310	0.52	60	29600	64	1	9	hot water/steam	gas	public/commercial	No	No	No	5	2.5
230206	92000	924	0.31	39	19600	64	1	6	electric	electric	public/commercial	No	No	No	2	1
463807	155000	2080	0.38	47	38000	64	1	9	electric	gas	public/commercial	No	No	Yes	3	2.5
284421	123500	1237	0.08	44	17200	64	1	4	electric	electric	public/commercial	No	No	Yes	3	1.5
343481	150000	1064	1.26	71	41900	64	0	8	hot air	gas	septic	No	No	Yes	3	1
272606	104000	1480	0.07	40	16800	64	1	4	hot air	gas	public/commercial	No	No	Yes	3	1.5
565866	245000	2442	0.48	45	48500	64	2	8	hot air	gas	public/commercial	No	No	Yes	4	3.5
462206	180000	2228	0.41	39	25400	64	1	7	hot water/steam	gas	public/commercial	No	No	No	3	2.5
410135	170000	1559	0.45	52	30000	64	1	5	hot air	gas	public/commercial	No	No	No	4	2.5
511105	219000	1980	0.6	47	71000	64	1	10	hot air	gas	public/commercial	No	No	Yes	4	2.5
707584	295000	2380	0.95	31	78000	82	1	6	hot air	gas	septic	No	No	No	3	2.5
530493	260000	2185	2.25	155	43500	64	1	11	hot water/steam	gas	septic	No	No	No	4	1.5
306185	135500	1152	0.67	78	21100	64	0	3	hot air	gas	septic	No	No	No	1	2
461752	191500	2025	0.66	37	32100	64	1	9	hot water/steam	gas	public/commercial	No	No	No	4	2.5
651534	225000	2521	0.62	59	32600	64	1	12	hot water/steam	gas	public/commercial	No	No	No	5	2.5
260557	98500	1480	0.08	40	17200	64	0	4	hot air	gas	public/commercial	No	No	Yes	3	1.5
281430	110500	1480	0.08	39	17200	64	1	5	hot air	gas	public/commercial	No	No	Yes	3	1.5
584081	290000	2362	0.51	29	39100	64	1	8	hot air	gas	public/commercial	No	No	No	4	2.5
435662	184400	1910	0.28	53	23200	64	1	7	hot air	gas	public/commercial	No	No	Yes	3	1.5
518865	178500	1952	3.6	34	32000	71	2	9	hot air	oil	septic	No	No	No	3	2
793146	415000	3358	0.58	31	86400	64	1	12	hot air	gas	public/commercial	No	No	Yes	4	3.5
485937	244900	2110	0.43	48	39000	64	1	7	hot air	gas	public/commercial	No	No	Yes	4	2.5
409598	150000	1965	0.55	57	33000	64	1	11	hot air	gas	public/commercial	No	No	Yes	5	2
444219	168000	2110	0.49	55	34100	64	1	9	hot air	gas	public/commercial	No	No	Yes	4	1.5
400918	159000	1456	0.39	65	29600	64	0	9	hot air	gas	septic	No	No	No	4	2.5
281536	127000	1479	0.06	40	16400	64	0	7	hot air	gas	public/commercial	No	No	No	3	1.5
549683	255250	2099	0.5	22	17500	64	1	8	hot air	gas	public/commercial	No	No	No	4	2.5
471002	175000	1872	0.6	55	32000	64	1	8	hot water/steam	gas	public/commercial	No	No	No	3	2.5
578952	235000	2388	0.41	39	44300	64	1	11	electric	electric	public/commercial	No	No	Yes	4	2.5
525000	324000	2812	0.53	40	65800	64	1	12	hot air	gas	public/commercial	No	No	Yes	4	2.5
329627	173000	1064	0.21	33	19100	64	1	4	hot air	gas	public/commercial	No	No	No	2	2
284016	116900	1375	0.06	42	16400	64	0	7	hot air	gas	public/commercial	No	No	Yes	2	1.5
278927	105900	1480	0.09	41	17600	64	0	5	hot air	electric	public/commercial	No	No	No	3	1.5
271771	112000	1260	0.13	47	18300	64	1	5	hot air	gas	public/commercial	No	No	Yes	2	1.5
546611	235000	2086	0.72	37	40300	64	1	5	hot air	gas	public/commercial	No	No	Yes	3	2.5
566263	235000	2588	2.31	31	43900	64	1	12	hot air	oil	septic	No	No	No	4	2.5
281257	130000	1480	0.18	40	18800	64	0	4	electric	electric	public/commercial	No	No	No	3	1.5
498960	235000	1754	0.74	32	35700	64	1	7	hot air	gas	public/commercial	No	No	No	3	2.5
455912	191000	2344	0.41	51	25400	64	1	9	hot water/steam	gas	public/commercial	No	No	No	4	2.5
417680	153000	1931	0.51	55	34600	64	1	6	hot air	gas	public/commercial	No	No	Yes	4	1.5
453643	196000	2208	0.55	57	34800	64	1	9	hot air	gas	public/commercial	No	No	Yes	4	2.5
562035	248000	2208	0.46	38	60500	64	1	7	hot air	gas	public/commercial	No	No	Yes	3	2.5
500122	199000	2451	2.42	54	48300	64	1	7	hot air	gas	septic	No	No	Yes	3	2.5
448194	217000	1797	0.69	42	35500	64	0	9	electric	electric	septic	No	No	No	4	2
397753	167000	1611	0.51	53	34600	64	1	4	hot air	gas	public/commercial	No	No	No	3	1.5
570000	245000	2576	0.29	35	31400	64	1	10	hot air	gas	public/commercial	No	No	Yes	4	2.5
767680	358000	2653	1.06	32	79600	82	0	10	hot air	gas	septic	No	No	Yes	4	2.5
847012	412500	3896	0.6	35	88000	64	2	12	hot water/steam	gas	public/commercial	No	No	Yes	5	4.5
453268	208000	1585	0.53	38	37500	64	1	6	hot air	gas	public/commercial	No	No	Yes	3	1
593181	270000	2774	0.38	32	38000	64	1	8	hot air	gas	public/commercial	No	No	Yes	4	2.5
335992	130000	1136	0.56	51	34800	64	0	6	hot air	oil	septic	No	No	No	3	1
442841	182500	1896	0.71	54	35100	64	1	6	hot water/steam	gas	public/commercial	No	No	No	4	2.5
255784	104000	1480	0.09	41	17600	64	1	5	electric	electric	public/commercial	No	No	No	3	1.5
582403	260000	2344	1.09	30	40200	64	0	7	hot air	gas	public/commercial	No	No	Yes	4	2.5
443644	182500	2112	0.5	51	29000	64	1	7	hot water/steam	gas	public/commercial	No	No	No	4	2.5
426240	196000	1911	0.43	55	31400	64	1	10	hot air	gas	public/commercial	No	No	Yes	3	2.5
287304	132000	1480	0.09	40	17600	64	1	7	hot air	gas	public/commercial	No	No	Yes	3	1.5
520488	224900	2208	1.11	47	32900	64	1	10	hot water/steam	gas	septic	No	No	No	4	2.5
418800	199900	1468	0.24	31	28000	64	0	7	hot air	gas	public/commercial	No	No	No	3	2.5
437570	165835	1794	0.39	60	29600	64	1	10	hot air	gas	septic	No	No	No	4	1.5
464124	189000	1886	0.8	60	35500	64	1	9	hot water/steam	gas	public/commercial	No	No	No	4	2.5
494394	235000	2576	0.59	56	31700	64	1	11	hot water/steam	gas	public/commercial	No	No	Yes	5	3
378070	166000	1508	0.48	48	31200	64	1	5	hot water/steam	gas	public/commercial	No	No	No	4	1.5
400287	153100	1678	0.46	57	32700	64	1	5	hot air	gas	public/commercial	No	No	No	4	1
485925	224000	3074	0.52	62	29600	64	1	12	hot water/steam	gas	septic	No	No	No	7	2.5
490578	222400	1976	0.86	25	35600	64	1	8	hot air	gas	septic	No	No	No	3	2.5
457743	199000	2302	0.46	59	27400	64	1	8	hot water/steam	gas	public/commercial	No	No	No	4	2.5
395777	152000	1582	0.42	37	17400	36	0	8	electric	electric	septic	No	No	No	3	1.5
354084	162500	1600	0.34	175	11900	54	0	7	hot air	oil	public/commercial	No	No	No	2	1
421000	225000	1816	0.52	32	18200	57	1	6	hot air	gas	public/commercial	No	No	No	3	1.5
435078	180000	1530	0.48	41	12500	57	1	6	hot air	gas	septic	No	No	Yes	3	2
400084	189900	1756	0.33	35	11900	54	0	8	hot air	gas	public/commercial	No	No	Yes	4	2
264989	126500	1480	0.08	36	2100	54	1	8	hot air	gas	public/commercial	No	No	No	3	2.5
289284	122500	1480	0.14	36	3200	54	1	4	hot air	gas	public/commercial	No	No	Yes	3	1.5
400176	159000	1514	0.49	38	18800	36	1	8	hot air	gas	septic	No	No	No	3	1.5
291489	119900	840	0.18	23	15000	36	0	6	hot air	gas	public/commercial	No	No	Yes	1	1
282910	194670	2592	0.28	145	7400	36	0	12	hot air	gas	public/commercial	No	No	No	5	2.5
277029	144700	1380	0.16	23	15000	36	0	6	hot air	gas	public/commercial	No	No	No	3	1.5
301157	139500	1366	0.15	24	15000	36	0	8	hot air	gas	public/commercial	No	No	Yes	3	1.5
660638	348000	2037	4.68	35	27200	36	1	9	hot water/steam	oil	septic	No	No	No	3	3
480350	189900	2570	1.98	37	11200	36	0	10	hot water/steam	oil	septic	No	No	No	3	1.5
349690	153000	1508	2.06	27	40100	30	0	5	hot air	oil	septic	No	No	No	3	2
393742	187000	2389	1.47	39	18800	27	0	11	hot water/steam	oil	septic	No	No	No	6	3
318786	158500	1210	0.7	38	28800	60	1	4	hot air	gas	septic	No	No	No	2	1
321183	153000	1230	0.39	73	21800	60	1	6	hot air	oil	septic	No	No	No	3	1
394290	190000	1832	0.52	68	28100	60	1	8	hot air	oil	septic	No	No	No	4	2
411362	242000	1854	1.27	48	34200	60	1	8	hot water/steam	oil	septic	No	No	No	3	2.5
346664	165000	1272	0.38	69	21300	60	1	5	hot air	gas	septic	No	No	No	4	1.5
344350	129900	1560	0.28	33	4800	47	1	8	hot air	gas	public/commercial	No	No	Yes	3	1
472303	257000	1832	0.26	36	700	47	1	8	hot air	gas	public/commercial	No	No	Yes	2	2.5
474692	290000	1758	0.15	34	400	47	1	6	hot air	gas	public/commercial	No	No	Yes	2	2.5
