ID	Year	Focal.depth	Magnitude	Country	Latitude	Longitude	Tsunami_deaths	Missing	Injuries	Damage..M.	Deaths_total
160	1520	NA	7	JAPAN	33.6	136.3	NA	NA	NA	NA	NA
163	1530	NA	NA	VENEZUELA	10.7	-64.1	4	NA	NA	NA	4
165	1531	NA	7.7	PORTUGAL	38.7	-9.1	NA	NA	NA	NA	30000
173	1546	NA	6.5	ISRAEL	32	35.5	NA	NA	NA	NA	NA
179	1570	NA	8.3	CHILE	-36.75	-73	2000	NA	NA	NA	2000
185	1575	NA	8.5	CHILE	-39.8	-73.2	1300	NA	NA	NA	1321
191	1586	NA	8.2	JAPAN	35	136.8	NA	NA	NA	NA	8000
194	1586	60	8.5	PERU	-12.3	-77.7	NA	NA	NA	NA	22
197	1589	NA	6.7	JAPAN	34.8	138.2	NA	NA	NA	NA	NA
212	1604	30	8.5	PERU	-17.88	-70.94	74	NA	NA	NA	174
216	1605	NA	7.9	JAPAN	33	134.9	5000	NA	NA	NA	5000
226	1611	NA	8.1	JAPAN	39	144.5	5000	NA	NA	NA	5000
228	1614	NA	7.7	JAPAN	37.5	138	NA	NA	NA	NA	NA
231	1616	NA	7	JAPAN	38.1	142	NA	NA	NA	NA	NA
235	1619	NA	6.4	JAPAN	32.5	130.6	NA	NA	NA	NA	NA
238	1627	NA	7.5	PHILIPPINES	18.7	121.8	NA	NA	NA	NA	NA
243	1629	NA	NA	INDONESIA	-4.6	129.9	5	NA	NA	NA	5
245	1633	NA	7.1	JAPAN	35.2	139.2	NA	NA	NA	NA	150
246	1633	NA	NA	CHILE	-41.8	-73.8	NA	NA	NA	NA	NA
248	1633	NA	6.9	GREECE	37.6	21	NA	NA	NA	NA	NA
254	1640	NA	NA	CHINA	23	117	NA	NA	NA	NA	NA
256	1642	NA	6.7	JAPAN	35.2	140.6	NA	NA	NA	NA	NA
258	1643	NA	6.5	SOUTH KOREA	35.5	129.5	NA	NA	NA	NA	NA
259	1644	NA	6.9	JAPAN	39.4	140.1	117	NA	NA	NA	117
268	1649	NA	6.5	SOUTH KOREA	35.5	126	NA	NA	NA	NA	NA
281	1657	NA	8	CHILE	-36.83	-73.03	40	NA	NA	NA	40
291	1662	NA	7.9	JAPAN	31.7	132	200	NA	NA	NA	200
294	1666	NA	6.4	JAPAN	35	136.8	NA	NA	NA	NA	NA
295	1667	NA	6.7	JAPAN	25	125.5	NA	NA	NA	NA	NA
299	1668	NA	6.6	TURKEY	38.4	27.1	NA	NA	NA	NA	NA
300	1668	NA	8.5	CHINA	35.3	118.6	NA	NA	NA	NA	42578
304	1670	NA	6.8	CHINA	33	122.5	NA	NA	NA	NA	NA
307	1670	NA	6.4	JAPAN	35.5	141	NA	NA	NA	NA	NA
316	1674	NA	6	INDONESIA	-3.7	128.2	NA	NA	NA	NA	NA
321	1677	NA	8.1	JAPAN	40	144	NA	NA	NA	NA	NA
322	1677	NA	7.4	JAPAN	35	141.5	500	NA	NA	NA	500
325	1678	40	8.4	PERU	-9	-79	NA	NA	NA	NA	NA
337	1687	30	8.5	PERU	-13.5	-76.5	5000	NA	NA	NA	5000
345	1690	NA	8	ANTIGUA AND BARBUDA	17.5	-61.5	NA	NA	NA	NA	NA
355	1698	NA	6.4	JAPAN	33.3	131.7	NA	NA	NA	NA	NA
361	1700	NA	9	USA	45	-125	2	NA	NA	NA	NA
365	1700	NA	6.5	SOUTH KOREA	36.5	126.5	NA	NA	NA	NA	NA
367	1703	NA	8.2	JAPAN	34.7	139.8	5233	NA	NA	NA	5233
377	1707	NA	8.4	JAPAN	33.2	134.8	5000	NA	NA	NA	5000
379	1708	NA	7	JAPAN	34	137	NA	NA	NA	NA	NA
380	1708	NA	NA	INDONESIA	-3.69	128.15	NA	NA	NA	NA	NA
381	1710	NA	NA	INDONESIA	-4.53	129.9	NA	NA	NA	NA	NA
383	1711	NA	7	INDONESIA	-4	129	2	NA	NA	NA	2
384	1711	NA	6.7	JAPAN	34.3	134	NA	NA	NA	NA	1000
385	1715	80	7.5	PERU	-17.3	-70.8	NA	NA	NA	NA	NA
386	1715	NA	6.6	JAPAN	33.3	131.7	NA	NA	NA	NA	NA
399	1726	NA	6.6	JAPAN	36.3	136	NA	NA	NA	NA	NA
400	1730	NA	9.1	CHILE	-32.5	-71.5	3	NA	NA	NA	5
404	1732	NA	NA	MEXICO	16.8	-99.9	NA	NA	NA	NA	NA
406	1732	NA	6.5	JAPAN	35.2	140.8	NA	NA	NA	NA	NA
412	1737	NA	NA	RUSSIA	51.1	158	3	NA	NA	NA	100
421	1742	NA	7	RUSSIA	51.5	157	NA	NA	NA	NA	NA
424	1746	30	8	PERU	-11.996	-77.198	4800	NA	NA	NA	5941
429	1748	NA	6.8	GREECE	38.3	22.1	NA	NA	NA	NA	NA
440	1751	NA	8.5	CHILE	-37	-73	65	NA	NA	NA	65
443	1751	NA	7.3	DOMINICAN REPUBLIC	18.5	-70.7	NA	NA	NA	NA	NA
449	1754	NA	6.5	INDONESIA	-3.5	128.5	NA	NA	NA	NA	4
452	1754	NA	NA	MEXICO	16.8	-99.2	NA	NA	NA	NA	NA
456	1755	NA	8.5	PORTUGAL	37	-10	50000	NA	NA	NA	50000
462	1757	NA	NA	PORTUGAL	38.65	-28.08	NA	NA	NA	NA	1053
466	1759	NA	6.6	ISRAEL	33	35.5	NA	NA	NA	NA	2000
468	1761	NA	8.5	PORTUGAL	34.5	-13	NA	NA	NA	NA	25
471	1762	NA	NA	BANGLADESH	22	92	NA	NA	NA	NA	NA
474	1762	NA	6.6	JAPAN	38.1	138.7	NA	NA	NA	NA	NA
475	1763	NA	7.4	JAPAN	40.8	142	NA	NA	NA	NA	NA
476	1763	NA	7.8	JAPAN	41	142.5	NA	NA	NA	NA	NA
477	1763	NA	7.1	JAPAN	40.7	142	NA	NA	NA	NA	NA
479	1763	NA	NA	INDONESIA	-6	130	7	NA	NA	NA	7
487	1766	NA	6.9	JAPAN	40.9	140.7	1700	NA	NA	NA	1700
492	1767	NA	NA	MARTINIQUE (FRENCH TERRITORY)	14.4	-61	NA	NA	NA	NA	NA
496	1768	NA	7.5	PAPUA NEW GUINEA	-4.85	152.8	NA	NA	NA	NA	NA
497	1768	NA	6.5	JAPAN	26.2	127.5	NA	NA	NA	NA	NA
499	1769	NA	7.4	JAPAN	32.3	132	NA	NA	NA	NA	NA
500	1770	NA	7	INDONESIA	-5	102	NA	NA	NA	NA	NA
503	1771	NA	7.4	JAPAN	24	124.3	13486	NA	NA	NA	13486
513	1775	NA	NA	INDONESIA	-3.7	128.2	NA	NA	NA	NA	NA
524	1780	NA	7.5	RUSSIA	45.3	151.2	12	NA	NA	NA	12
544	1787	NA	8.6	MEXICO	16.5	-98.5	11	NA	NA	NA	11
549	1788	NA	8	USA	57	-153	NA	NA	NA	NA	NA
551	1788	NA	8	USA	55	-161	NA	NA	NA	NA	NA
558	1791	NA	6.5	JAPAN	34.5	135.4	NA	NA	NA	NA	NA
569	1792	NA	6.9	JAPAN	43.5	140.6	NA	NA	NA	NA	NA
572	1793	NA	6.9	JAPAN	40.85	139.95	12	NA	NA	NA	12
573	1793	33	8.3	JAPAN	38.5	144	720	NA	NA	NA	745
576	1797	NA	8	INDONESIA	0.001	99	300	NA	NA	NA	300
579	1798	NA	NA	COSTA RICA	10.2	-82.9	NA	NA	NA	NA	NA
583	1799	NA	6.4	JAPAN	36.6	136.6	NA	NA	NA	NA	NA
588	1802	NA	6.6	JAPAN	37.7	138.3	NA	NA	NA	NA	19
593	1804	NA	7.3	JAPAN	39.05	139.95	NA	NA	NA	NA	450
596	1806	NA	7.5	PERU	-12.1	-77.1	NA	NA	NA	NA	NA
599	1808	NA	6.5	JAPAN	33.9	134.8	NA	NA	NA	NA	NA
603	1810	NA	6.6	JAPAN	39.9	139.9	NA	NA	NA	NA	57
619	1817	NA	6.8	GREECE	38.3	22.1	NA	NA	NA	NA	NA
626	1819	NA	8.5	CHILE	-27	-71.5	NA	NA	NA	NA	NA
629	1819	NA	7.7	INDIA	23	71	NA	NA	NA	NA	1543
630	1819	NA	5.8	NORWAY	66.416	12.85	NA	NA	NA	NA	NA
633	1820	NA	7.6	MEXICO	17.2	-99.6	NA	NA	NA	NA	NA
635	1820	80	7.5	INDONESIA	-7	119	500	NA	NA	NA	500
640	1822	NA	7.6	COSTA RICA	9.5	-83	NA	NA	NA	NA	NA
641	1822	NA	8.5	CHILE	-33	-72	NA	NA	200	NA	72
644	1823	NA	NA	MARTINIQUE (FRENCH TERRITORY)	14.4	-61	NA	NA	NA	NA	NA
667	1828	NA	6.4	JAPAN	32.6	129.9	NA	NA	NA	NA	NA
680	1833	NA	NA	MEXICO	16.8	-99.9	NA	NA	NA	NA	NA
681	1833	75	8.3	INDONESIA	-2.5	100.5	NA	NA	NA	NA	NA
682	1833	NA	7.4	JAPAN	38.9	139.15	50	NA	NA	NA	85
684	1834	NA	6.4	JAPAN	43.3	141.4	NA	NA	NA	NA	NA
689	1835	NA	8.2	CHILE	-36.83	-73.03	3	30	500	NA	53
691	1835	NA	7.6	JAPAN	37.9	141.9	NA	NA	NA	NA	NA
702	1837	NA	6.4	ISRAEL	33	35.5	NA	NA	NA	NA	6000
708	1837	NA	8.5	CHILE	-42.5	-74	16	NA	NA	NA	16
723	1841	30	8.4	RUSSIA	52	158	NA	NA	NA	NA	NA
724	1841	NA	NA	INDONESIA	-5	130	NA	NA	NA	NA	NA
725	1841	NA	6	INDONESIA	-4	127.5	NA	NA	NA	NA	NA
726	1842	NA	8.1	HAITI	19.75	-72.2	300	NA	NA	NA	5300
728	1843	70	7.3	INDONESIA	1.5	98	NA	NA	NA	NA	NA
730	1843	33	8.3	GUADELOUPE (FRENCH TERRITORY)	16.5	-62.2	NA	NA	NA	NA	5000
732	1843	NA	8.4	JAPAN	42	146	45	NA	NA	NA	45
741	1845	NA	7	INDONESIA	1.5	124.85	NA	NA	NA	NA	118
742	1845	NA	8.3	MEXICO	17	-100.6	NA	NA	NA	NA	NA
743	1845	NA	6.3	INDIA	23.583	68.367	NA	NA	NA	NA	NA
745	1845	NA	NA	CROATIA	NA	NA	NA	NA	NA	NA	NA
749	1846	NA	7.3	INDONESIA	2	126.5	NA	NA	NA	NA	NA
750	1846	NA	6.9	JAPAN	39.5	142.5	NA	NA	NA	NA	NA
757	1847	NA	NA	INDIA	7.333	93.667	NA	NA	NA	NA	NA
763	1849	NA	7.5	USA TERRITORY	14	143.3	NA	NA	NA	NA	NA
767	1849	NA	NA	RUSSIA	55	166	NA	NA	NA	NA	NA
772	1849	NA	7.5	CHILE	-29.95	-71.37	NA	NA	NA	NA	NA
775	1851	NA	7.1	TURKEY	36.5	29	NA	NA	NA	NA	NA
778	1851	NA	NA	TURKEY	36.4	28.7	NA	NA	NA	NA	NA
799	1852	100	8.3	INDONESIA	-5.25	129.75	60	NA	NA	NA	60
807	1853	NA	6.7	VENEZUELA	10.5	-64.2	NA	NA	NA	NA	1000
808	1853	NA	NA	GREECE	38.25	23.5	NA	NA	NA	NA	17
827	1854	NA	NA	INDONESIA	0.8	127.4	NA	NA	NA	NA	NA
835	1854	NA	8.3	JAPAN	34	137.9	300	NA	NA	NA	1000
837	1854	NA	8.4	JAPAN	33.1	135	3000	NA	NA	NA	3000
839	1855	NA	8	NEW ZEALAND	-41.25	175	NA	NA	NA	NA	NA
850	1855	NA	7	JAPAN	34.5	137.6	NA	NA	NA	NA	NA
851	1855	NA	7	JAPAN	35.65	139.8	NA	NA	NA	NA	6757
864	1856	NA	8	JAPAN	40.5	143.5	26	NA	NA	NA	26
867	1856	NA	6.6	GREECE	38.5	26.25	NA	NA	NA	NA	NA
870	1857	50	7	INDONESIA	-8	115.5	NA	NA	NA	NA	36
871	1857	NA	6.4	JAPAN	34.8	138.3	NA	NA	NA	NA	NA
872	1857	NA	NA	INDONESIA	1.35	125.2	NA	NA	NA	NA	NA
880	1859	NA	7	INDONESIA	1	126.5	NA	NA	NA	NA	NA
881	1859	NA	NA	INDONESIA	-4.6	129.9	NA	NA	NA	NA	NA
882	1859	NA	7.3	INDONESIA	0.009	125.5	NA	NA	NA	NA	NA
884	1859	NA	6.2	EL SALVADOR	13.33	-87.81	NA	NA	NA	NA	NA
888	1859	NA	7.6	CHILE	-27.35	-70.35	NA	NA	NA	NA	10
894	1859	NA	7	EL SALVADOR	13.7	-89.8	NA	NA	NA	NA	NA
900	1860	NA	NA	PERU	-12.1	-77.1	NA	NA	NA	NA	NA
902	1860	NA	NA	INDONESIA	-1.25	128.5	NA	NA	NA	NA	NA
904	1861	70	8.5	INDONESIA	-1	97.5	1105	NA	NA	NA	1105
907	1861	20	7	INDONESIA	0.009	98	950	NA	NA	NA	950
909	1861	70	7	INDONESIA	1	97.5	NA	NA	NA	NA	NA
913	1861	NA	6.8	INDONESIA	1	97.5	NA	NA	NA	NA	NA
914	1861	NA	6.5	INDONESIA	-1.5	100	NA	NA	NA	NA	NA
915	1861	NA	7.4	JAPAN	38.5	142	NA	NA	NA	NA	NA
930	1863	NA	6.4	JAPAN	44.6	141.5	NA	NA	NA	NA	NA
934	1864	NA	7.8	INDONESIA	-1	135	250	NA	NA	NA	250
935	1865	NA	NA	PERU	-12	-77.1	5	NA	NA	NA	5
943	1865	NA	8	TONGA	-19.5	-173.5	NA	NA	NA	NA	NA
945	1866	NA	6.6	ALBANIA	40.3	19.4	NA	NA	NA	NA	60
951	1866	NA	6.8	GREECE	36	23	NA	NA	NA	NA	NA
953	1866	NA	6.3	ALBANIA	40.4	19.4	NA	NA	NA	NA	NA
965	1867	NA	7.1	GREECE	36.4	22.2	NA	NA	NA	NA	NA
966	1867	33	7.3	USA TERRITORY	18.2	-65	24	NA	NA	NA	24
967	1867	NA	7	TAIWAN	25.34	121.91	NA	NA	NA	NA	580
969	1868	NA	NA	USA TERRITORY	18.1	-65.1	NA	NA	NA	NA	NA
971	1868	NA	7.9	USA	19	-155.5	47	NA	NA	NA	77
981	1868	NA	NA	MEXICO	16.8	-99.9	NA	NA	NA	NA	NA
983	1868	25	8.5	CHILE	-18.6	-71	25000	NA	NA	NA	25000
1004	1869	NA	NA	CHILE	-30	-71.4	NA	NA	NA	NA	NA
1010	1869	NA	7.5	CHILE	-19.6	-70.23	NA	NA	NA	NA	NA
1013	1870	NA	NA	EGYPT	36	26	NA	NA	NA	NA	NA
1032	1872	NA	NA	ICELAND	NA	NA	NA	NA	NA	NA	NA
1037	1872	NA	6	PHILIPPINES	16	119	NA	NA	NA	NA	NA
1038	1872	33	7.4	JAPAN	34.9	132	NA	NA	200	NA	804
1040	1872	NA	NA	USA	52.2	-168.5	NA	NA	NA	NA	NA
1049	1873	NA	8	PAPUA NEW GUINEA	-5.5	146	NA	NA	NA	NA	NA
1062	1875	NA	8	NEW CALEDONIA	-20	168.5	26	NA	25	NA	26
1064	1876	50	6.8	INDONESIA	-3	127.25	NA	NA	NA	NA	NA
1075	1877	NA	8.3	CHILE	-21.5	-70.5	2282	NA	NA	NA	2385
1081	1877	NA	NA	CHILE	-20.2	-70.1	NA	NA	NA	NA	NA
1086	1878	NA	7.5	VANUATU	-19	168.5	NA	NA	NA	NA	NA
1089	1878	NA	NA	USA	NA	NA	NA	NA	NA	NA	NA
1095	1878	NA	NA	PAPUA NEW GUINEA	-4.25	152.25	NA	NA	NA	NA	1
1096	1878	NA	8	VANUATU	-19	168.5	NA	NA	NA	NA	NA
1119	1880	NA	6.3	USA	55.8	-155.6	NA	NA	NA	NA	NA
1123	1881	NA	NA	CHILE	-20.2	-70.1	NA	NA	NA	NA	NA
1128	1881	NA	7.9	INDIA	8.52	92.43	NA	NA	NA	NA	NA
1130	1882	NA	NA	SRI LANKA	8.567	81.233	NA	NA	NA	NA	NA
1135	1882	NA	7.5	INDONESIA	-4.5	129.9	NA	NA	NA	NA	NA
1139	1883	NA	NA	GREECE	39.5	20	NA	NA	NA	NA	NA
1153	1885	NA	7.3	INDONESIA	-2.5	127.5	NA	NA	NA	NA	NA
1156	1885	NA	NA	CHILE	-20.2	-70.1	NA	NA	NA	NA	NA
1164	1886	NA	6.8	GREECE	37.1	21.7	NA	NA	796	NA	326
1170	1887	NA	NA	HAITI	19.7	-74.4	NA	NA	NA	NA	NA
1178	1889	NA	6.8	PHILIPPINES	13.5	121	NA	NA	NA	NA	NA
1181	1889	70	8	INDONESIA	1	126.25	NA	NA	NA	NA	NA
1190	1891	NA	7	INDONESIA	-9	124	NA	NA	NA	NA	NA
1195	1892	NA	7.5	USA TERRITORY	14	143.3	NA	NA	NA	NA	NA
1196	1892	NA	NA	INDONESIA	2.5	99.5	NA	NA	NA	NA	NA
1199	1892	70	7	INDONESIA	-3	127.75	NA	NA	NA	NA	NA
1200	1892	NA	6.5	JAPAN	37	136.8	NA	NA	NA	NA	1
1202	1893	NA	6.5	GREECE	40.5	25.5	NA	NA	NA	NA	1
1203	1893	NA	7	RUSSIA	43.3	147.5	NA	NA	NA	NA	NA
1204	1893	NA	6.9	JAPAN	42.5	145.5	NA	NA	NA	NA	NA
1208	1894	NA	7.9	JAPAN	42.5	146	NA	NA	6	NA	1
1210	1893	NA	6.5	GREECE	37.68	20.81	NA	NA	NA	NA	NA
1213	1894	NA	6.7	TURKEY	40.6	28.7	NA	NA	NA	NA	1349
1214	1894	NA	7	JAPAN	38.9	139.8	NA	NA	NA	NA	726
1219	1895	NA	7.3	PAPUA NEW GUINEA	-8.4	150.1	NA	NA	NA	NA	NA
1230	1896	NA	NA	ICELAND	NA	NA	NA	NA	NA	NA	NA
1231	1896	NA	7.6	JAPAN	36.5	141	NA	NA	NA	NA	NA
1234	1896	NA	8.3	JAPAN	39.5	144	27122	NA	13247	NA	27122
1237	1897	33	7.4	JAPAN	38.1	141.9	NA	NA	NA	NA	NA
1241	1897	NA	7.7	JAPAN	38	143.7	NA	NA	NA	NA	NA
1244	1897	33	8.7	PHILIPPINES	6	122	13	NA	14	NA	13
1249	1898	NA	7.2	JAPAN	38.6	142	NA	NA	2	NA	NA
1251	1898	NA	NA	GREECE	37.75	21	NA	NA	NA	NA	NA
1254	1899	NA	6.5	GREECE	37.25	21.75	NA	NA	NA	NA	NA
1255	1899	NA	NA	PAPUA NEW GUINEA	-3	152	NA	NA	NA	NA	NA
1258	1899	NA	8.2	USA	60	-142	NA	NA	NA	NA	NA
1268	1899	NA	7.1	JAPAN	31.9	132	NA	NA	NA	NA	NA
1269	1899	NA	6.9	JAPAN	32.7	132.3	NA	NA	NA	NA	NA
1272	1900	NA	6.8	PAPUA NEW GUINEA	-4	152	NA	NA	NA	NA	NA
1274	1900	NA	7.1	PAPUA NEW GUINEA	-5	148	NA	NA	NA	NA	NA
1275	1900	NA	6.9	INDONESIA	-4	140	5	NA	NA	NA	5
1276	1900	25	7.7	VENEZUELA	11	-66	NA	NA	NA	NA	25
1278	1901	33	6	JAPAN	39	143	NA	NA	NA	NA	NA
1279	1901	33	7.5	JAPAN	28	130.3	NA	NA	NA	NA	NA
1281	1901	33	7.2	JAPAN	40.5	142.5	NA	NA	NA	NA	NA
1282	1901	33	7.4	JAPAN	40.6	142.3	NA	NA	NA	NA	18
1283	1901	33	6.3	JAPAN	40.5	142.5	NA	NA	NA	NA	NA
1287	1902	NA	7	EL SALVADOR	13.5	-89.5	185	NA	100	NA	185
1289	1902	NA	6.5	GREECE	40.75	23.25	NA	NA	NA	NA	5
1307	1903	NA	6.5	CHILE	-28.5	-71	NA	NA	NA	NA	NA
1312	1904	30	8.3	RUSSIA	52	159	NA	NA	NA	NA	NA
1313	1904	NA	8.1	RUSSIA	52	159	NA	NA	NA	NA	NA
1322	1905	20	7.9	INDIA	32.597	76.916	NA	NA	NA	NA	19000
1324	1905	33	7	JAPAN	37.4	142.6	57	NA	NA	NA	57
1331	1906	20	8.8	ECUADOR	0.955	-79.369	1000	NA	NA	NA	1000
1332	1906	NA	NA	ECUADOR	1	-81	NA	NA	NA	NA	NA
1339	1906	25	8.2	CHILE	-33	-72	NA	NA	NA	NA	4000
1340	1906	33	8	PAPUA NEW GUINEA	-7	149	NA	NA	NA	NA	NA
1344	1906	NA	7.2	PAPUA NEW GUINEA	-4	149	NA	NA	NA	NA	NA
1349	1907	50	8.2	INDONESIA	2.681	95.53	2188	NA	NA	NA	2188
1350	1907	15	6.2	JAMAICA	18.667	-76.237	NA	NA	NA	NA	1000
1353	1907	NA	8.1	MEXICO	17	-100	NA	NA	NA	NA	8
1367	1908	130	7.5	INDONESIA	-2	100	NA	NA	NA	NA	NA
1371	1908	33	6.8	USA	19	-155	NA	NA	NA	NA	NA
1374	1909	NA	6.7	JAPAN	34.5	141.5	NA	NA	NA	NA	NA
1375	1909	80	7.5	JAPAN	34.5	141.5	NA	NA	NA	NA	NA
1384	1909	33	6.9	JAPAN	35.4	136.3	NA	NA	NA	NA	41
1386	1909	100	8	USA TERRITORY	12.5	145	NA	NA	NA	NA	NA
1396	1911	160	8	JAPAN	28	130	NA	NA	NA	NA	12
1401	1912	100	6.6	JAPAN	40.5	142	NA	NA	NA	NA	NA
1405	1913	33	6.8	NEW ZEALAND	-41.8	171.5	NA	NA	NA	NA	NA
1410	1913	33	7	PAPUA NEW GUINEA	-7	148	NA	NA	NA	NA	NA
1416	1914	15	8.1	INDONESIA	-1.829	136.943	NA	NA	NA	NA	NA
1429	1915	60	7.8	JAPAN	38.3	142.9	NA	NA	NA	NA	NA
1431	1915	33	6.4	PHILIPPINES	18	119.5	NA	NA	NA	NA	NA
1432	1916	35	7.9	PAPUA NEW GUINEA	-4.739	152.548	NA	NA	NA	NA	NA
1434	1916	25	7	PANAMA	9.6	-82	NA	NA	NA	NA	NA
1439	1917	33	6.6	INDONESIA	-7	116	NA	NA	NA	NA	1500
1440	1917	NA	6.5	CHINA	24.47	118.08	NA	NA	NA	NA	NA
1442	1917	33	6.4	PHILIPPINES	6	125	NA	NA	2	NA	7
1444	1917	60	8	NEW ZEALAND	-29.2	-177	NA	NA	NA	NA	NA
1445	1917	33	5.8	TAIWAN	23.2	121.6	NA	NA	NA	NA	NA
1446	1917	25	8.3	SAMOA	-15.5	-173	2	NA	NA	NA	2
1456	1918	20	8.3	PHILIPPINES	5.538	123.994	6	NA	NA	NA	52
1457	1918	33	8.2	RUSSIA	45.5	151.5	23	NA	7	NA	23
1459	1918	15	6.4	USA TERRITORY	18.441	-67.214	NA	NA	NA	NA	NA
1460	1918	33	7.8	RUSSIA	44.5	151.5	NA	NA	NA	NA	NA
1461	1918	33	7.8	CHILE	-26	-71	NA	NA	NA	NA	NA
1472	1919	25	8.1	TONGA	-18.352	-172.515	NA	NA	NA	NA	NA
1474	1919	35	8.2	PAPUA NEW GUINEA	-4.806	153.859	NA	NA	NA	NA	NA
1485	1920	15	7	CHILE	-38	-73.5	NA	NA	NA	NA	NA
1486	1920	35	7.8	VANUATU	-19.919	168.53	NA	NA	NA	NA	NA
1490	1921	NA	7.5	INDONESIA	-11	111	NA	NA	NA	NA	NA
1491	1921	NA	7.5	PHILIPPINES	8	127	NA	NA	NA	NA	NA
1495	1922	33	6.9	PAPUA NEW GUINEA	-7.111	143.53	NA	NA	NA	NA	NA
1505	1922	70	8.5	CHILE	-28.293	-69.852	200	NA	NA	NA	700
1506	1922	NA	6.3	NEW ZEALAND	-43	173	NA	NA	NA	NA	NA
1508	1923	15	8.4	RUSSIA	54.486	160.472	3	NA	NA	1.5	3
1512	1923	22	7.2	PHILIPPINES	6.5	124	NA	NA	NA	NA	NA
1517	1923	20	7.2	RUSSIA	56.5	162.5	18	NA	NA	NA	18
1521	1923	40	7.3	JAPAN	35.4	141.8	NA	NA	NA	NA	NA
1526	1923	33	7.9	JAPAN	35.1	139.5	325	NA	52074	NA	105385
1527	1923	20	7.7	JAPAN	34.9	140.2	NA	NA	NA	NA	NA
1528	1923	145	7.1	PAPUA NEW GUINEA	-4.653	154.232	NA	NA	NA	NA	NA
1543	1924	NA	7.8	AUSTRALIA	-56	157.5	NA	NA	NA	NA	NA
1559	1925	22	7.3	PHILIPPINES	13	125	NA	NA	NA	NA	NA
1563	1926	15	7.5	SOLOMON ISLANDS	-10.061	159.215	NA	NA	NA	NA	NA
1572	1926	35	6.9	SOLOMON ISLANDS	-9.674	159.519	NA	NA	NA	NA	NA
1578	1927	10	6.9	JAPAN	37.9	142	NA	NA	NA	NA	NA
1579	1927	20	6.4	JAPAN	34.2	142	NA	NA	NA	NA	NA
1585	1927	10	7.3	USA	34.813	-120.774	NA	NA	NA	NA	NA
1586	1927	33	7.1	CHILE	-44.6	-73	NA	NA	NA	NA	NA
