Name	Park	Inversions	Duration	Track	Speed	Height	Drop	Length
Bruco Miniottovolante	Zoosafari Fasanolandia	0	40	Steel	13.4	12.2	12	393.7
Bullet Train	Gingko Lake Amusement Park	0	155	Steel	33.2	65.6	65.6	2673.9
Bumerang	Tashkentland	3	108	Steel	47	116.5	116	935
Búmeran	Parque Diversiones	3	108	Steel	47	116.5	116	935
Cagliostro	MagicLand	0	75	Steel	36	55.8	56	1410.8
Calamity Mine	Walibi Belgium	0	180	Steel	32	50	50	1700
Candymonium	Hersheypark	0	180	Steel	76	210	210	4636
Cannibal	Lagoon	0	150	Steel	70	208	208	2735
Cannon Ball	Lake Winnepesaukah	0	92	Wood	50	70	70	2272
Canyon Blaster	Adventuredome	4	90	Steel	41	94	66	2423
Carolina Cyclone	Carowinds	4	90	Steel	41	95	65	2100
Cedar Creek Mine Ride	Cedar Point	0	180	Steel	35	48	48	2540
Cheetah Hunt	Busch Gardens Tampa Bay	0	210	Steel	60	102	102	4429
Chip & Dale's Gadget Coaster	Disneyland	0	44	Steel	21.7	27.9	28	679.1
Chupacabra	Six Flags Fiesta Texas	5	120	Steel	50	105	80	2693
Circus Coaster	Luna Park	0	90	Steel	18.6	29.5	29.5	574.2
Classic Coaster	Washington State Fair	0	105	Wood	50	55	52	2650
Coaster Blu	Tetysblu Theme Park	0	66	Steel	28.5	42.7	43	1099.1
Coaster Express	Parque Warner Madrid	0	120	Wood	59	120	120	4574
Coaster Through the Clouds	Nanchang Sunac Land	0	252	Steel	84.5	242.8	255.9	5105
Cobra	Djurs Sommerland	3	90	Steel	55.9	85	85	2952
Cobra's Curse	Busch Gardens Tampa Bay	1	165	Steel	40	70	70	2100
Colorado Adventure	Phantasialand	0	175	Steel	31.1	85.3	85.3	4199.5
Colossos - Kampf der Giganten	Heide Park Resort	0	145	Wood	68.4	164	159.1	4409.4
Colossus	Six Flags Qiddiya City	0	120	Wood	50.2	94.5	88.6	2918.6
Colossus	Thorpe Park	10	100	Steel	40.4	98.4	98.4	2790
Columbia Double Loop Coaster	Seoul Land	2	135	Steel	52.8	105	105	2913.4
Comet	Hersheypark	0	105	Wood	50	84	78	3360
Comet	Six Flags Great Escape	0	120	Wood	55	95	87	4197
Comet	Waldameer	0	84	Wood	25	37	25	1300
Copperhead Strike	Carowinds	5	144	Steel	50	82	80	3255
Corkscrew	Valleyfair!	3	90	Steel	50	85	85	1950
Corkscrew	Rusutsu Resort	2	80	Steel	39.1	69.9	70	1254.9
Corkscrew	Cedar Point	3	120	Steel	48	85	75	2050
Correcaminos Bip, Bip	Parque Warner Madrid	0	76	Steel	37.3	52.5	53	1574.8
Corsaire	Cobac Parc	0	60	Steel	24.9	32.8	32.2	984.3
CraZanity	Six Flags Magic Mountain	0	120	Steel	75	170	170	3000
Crazy Bats	Phantasialand	0	240	Steel	28.9	38.4	38	3855
Crazy Cab Coaster	Trans Studio Mini	0	44	Steel	21.7	27.9	28	679.1
Crazy Crab	Steel Pier	0	95	Steel	37.3	49.2	49	1312.3
Crazy Mine	Hansa-Park	0	70	Steel	28	49.3	49.3	1213.9
Crazy Scooter	Happy Valley	2	47	Steel	43.5	49.3	49	1036.7
Crouching Tiger Hidden Dragon	Yanji Dinosaur Kingdom	1	120	Steel	63.4	191.3	161.7	2854.3
Crystal Wing	Happy Valley	2	140	Steel	51	106	100	2798
Cyclone	Luna Park	0	110	Wood	60	75	85	2850.3
Cyclone	City Park of Culture and Rest	0	80	Steel	34.2	39.3	39	1099
Cyclops	Mt. Olympus Water & Theme Park	0	60	Wood	58	70	75	1900
Cú Chulainn Coaster	Emerald Park	0	165	Wood	56	105	105.8	3590
Dark Knight	Six Flags Great Adventure	0	108	Steel	30	53	53	1267
Das Große LEGO Rennen	Legoland Deutschland	0	90	Steel	35	51.8	49.8	1312.3
De Vliegende Hollander	Efteling	0	180	Steel	27.3	42.7	42.7	2001
Death Rail	Al Zawraa Land	5	96	Steel	49.7	109.3	85	2260.5
Decepticoaster	Universal Studios Beijing	7	155	Steel	63.8	121.7	105	4150.3
Defiance	Glenwood Caverns Adventure Park	2	56	Steel	56	75	110	1082.7
Demon	Six Flags Great America	4	105	Steel	50	103.7	90	2130
Demon	California's Great America	4	105	Steel	50	102	90	2130
Desafío	Parque de la Costa	5	96	Steel	49.7	109.3	85	2260.5
Desmo Race	Mirabilandia	0	60	Steel	49.7	72.2	72.2	1722.4
Desperado	Buffalo Bill's Resort	0	165	Steel	80	209	225	5843
Devil's Loop	Legendia Śląskie Wesołe Miasteczko	2	87	Steel	43.5	65.6	66	1148
Diabolik	Movieland Park	3	90	Steel	50	131.3	131	1013.8
Diamondback	Frontier City	1	66	Steel	45	56	47	635
Diamondback	Kings Island	0	180	Steel	80	230	215	5282
Diavlo	Himeji Central Park	5	108	Steel	48.5	108.3	85	2606
Diving Coaster: Vanish	Yokohama Cosmoworld	0	118	Steel	62.1	115	121.4	2441.5
Dizzy Love & Whirling Passion	Discoveryland	4	130	Steel	49.7	108.3	95.2	2624.7
Dominator	Kings Dominion	5	180	Steel	55	161	148	4210
Drachenritt	Belantis	0	90	Steel	44	59	59	1641
DrageKongen	Djurs Sommerland	0	120	Steel	52.8	98.4	98.4	2706.7
Dragekongen	Fårup Sommerland	0	90	Steel	55.9	95.1	75.5	2625
Dragon Fyre	Canada's Wonderland	4	90	Steel	50	78	76	2160
Dragon Khan	PortAventura Park	8	105	Steel	65	148	161	4165
Dragon Mountain	Marineland	4	105	Steel	56	186	186	5500
Dragon in Clouds	Happy Valley	4	92	Steel	53.7	117.8	111.8	2454.1
Dragon in Snowfield	Happy Valley	0	140	Steel	30.1	45.9	46	2575.5
Dream Coaster	Kamine Park	0	120	Steel	42.3	85.3	85.3	1542
Dream Coaster	Dream City	3	45	Steel	43.5	82	82	1263.1
Dwervelwind	Toverland	0	112	Steel	43.5	65.6	66	1515.7
Dæmonen	Tivoli Gardens	3	106	Steel	48	91.9	65.6	1850.4
Ednor - L'Attaque	La Ronde	5	96	Steel	49.7	109.3	85	2260.5
El Condor	Walibi Holland	5	96	Steel	49.7	109.3	85	2260
El Toro	Six Flags Great Adventure	0	102	Wood	70	181	176	4400
Emperor	SeaWorld San Diego	3	95	Steel	60	153	143	2411
Euro Mir	Europa Park	0	273	Steel	49.7	92	86	3215.3
Eurosat - CanCan Coaster	Europa Park	0	198	Steel	37.3	83.7	84	3024.8
Excalibur	Valleyfair!	0	137	Steel	54.5	100	105	2415
Excalibur	Funtown Splashtown U.S.A.	0	118	Wood	55	100	82	2700
Expedition Everest	Walt Disney World - Disney's Animal Kingdom	0	170	Steel	50	112	80	3884.5
Expedition GeForce	Holiday Park	0	165	Steel	74.6	190	177	4839
Exterminator	Kennywood	0	108	Steel	29.1	42.7	43	1377.9
Fahrenheit	Hersheypark	6	85	Steel	58	121	121	2700
Falcon	Wuxi Sunac Land	4	120	Steel	73.3	197.5	196.9	4192.9
Falcon's Flight	Six Flags Qiddiya City	0	180	Steel	155	525	550	13714
Family Coaster	Children's Grand Park	0	62	Steel	34.2	64.3	64	1295.9
Famous Jack	Bagatelle	0	90	Steel	29.1	42.7	42.7	1377.9
Firewhip	Beto Carrero World	5	96	Steel	49.7	109.3	85	2260.5
Fjord Flying Dragon	Happy Valley	0	90	Wood	54.1	111.6	91.8	3989.5
Flagermusen	Fårup Sommerland	0	90	Steel	29.1	42.7	43	1377.9
Flash	Lewa Adventure	2	128	Steel	71.5	200.2	190.3	4176.5
Flashback	Six Flags New England	3	108	Steel	47	116.5	115	935
Flashback	Six Flags Great Escape	3	108	Steel	47	116.5	116	935
Flight Deck	California's Great America	3	146	Steel	50	102	91	2260
Flight of Fear	Kings Island	4	60	Steel	54	74.2	74	2705
Fluch des Kraken	Freizeit-Land Geiselwind	3	108	Steel	47	116.5	116	935
Flucht von Novgorod	Hansa-Park	1	120	Steel	62.1	131.2	131.2	2296.6
Fly	Canada's Wonderland	0	90	Steel	35	51.8	49.8	1312.3
Flying Aces	Ferrari World Abu Dhabi	5	150	Steel	75	207.5	207	4223
Flying Cobras	Carowinds	3	108	Steel	47	116.5	116	935
Flying Eagle	Legoland Billund	0	90	Steel	26.1	49.2	49.2	1050
Formula Rossa	Ferrari World Abu Dhabi	0	92	Steel	149.1	170.6	171	6804.5
Freestyle	Cavallino Matto	1	92	Steel	51	88	84	2210
Freischütz	Bayern-Park	4	50	Steel	49.7	78.7	78.7	1584.7
Fujiyama	Fuji-Q Highland	0	216	Steel	80.8	259.2	229.7	6708.7
Full Throttle	Six Flags Magic Mountain	3	60	Steel	70	160	160	2000
Fury 325	Carowinds	0	205	Steel	95	325	320	6602
Fēnix	Toverland	4	120	Steel	40.4	131.2	131	2887
GateKeeper	Cedar Point	6	160	Steel	67	170	164	4164
Gatekeeper	Cedar Point	6	180	Steel	67	170	164	4164
Gemini	Cedar Point	0	140	Steel	60	125.3	118	3935
Georgia Scorcher	Six Flags Over Georgia	2	84	Steel	54	107	101	3000
Gesengte Sau	Wiener Prater	0	120	Steel	37.3	78.7	79	2001.3
GhostRider	Knott's Berry Farm	0	160	Wood	56	118	108	4533
Ghoster Coaster	Canada's Wonderland	0	80	Wood	35	41	39	1356
Ghostrider	Knott's Berry Farm	0	165	Wood	56	118	108	4533
Giant Dipper	Santa Cruz Beach Boardwalk	0	112	Wood	55	70	65	2640
Giant Splash	Lotte World Adventure Busan - Magic Forest	0	78	Steel	62.8	147.6	146.3	711.9
Gold Rush	Kijima Kogen Park	0	129	Steel	28.1	42.7	43	1715.9
Gold Rusher	Six Flags Magic Mountain	0	150	Steel	35	70	70	2590
Golden Loop	Gold Reef City	1	30	Steel	57	137.8	138	863
Golden Wings over the Snowfield	Happy Valley	4	92	Steel	53.7	117.8	111.8	2454.1
Goliath	Six Flags Magic Mountain	0	180	Steel	85	235	255	4500
Goliath	Walibi Holland	0	92	Steel	65.9	153.7	150.9	3982.9
Goliath	Six Flags Over Georgia	0	210	Steel	70	200	175	4480
Goliath	La Ronde	0	100	Steel	68.3	174.8	170.6	4038.8
Goliath	Six Flags Great America	3	105	Wood	72	165	180	3100
Good Gravy!	Holiday World	0	65	Steel	37	77	77	721.8
Gotham City Gauntlet Escape from Arkham Asylum	Six Flags New England	0	92	Steel	28	49.3	49	1213.9
Goudurix	Parc Astérix	7	80	Steel	55.9	118.1	108	3116.8
Grand National	Blackpool Pleasure Beach	0	180	Wood	35	62	56	2700
Grand Showman	Oriental Heritage	4	130	Steel	49.7	108.3	95.1	2624.7
Great American Scream Machine	Six Flags Over Georgia	0	120	Wood	57	105	89	3450
Great Bear	Hersheypark	4	175	Steel	58	90	124	2800
Great Lego Race	Legoland Florida	0	95	Steel	35	51.8	49.8	1312.3
Great Nor'Easter	Morey's Piers	5	125	Steel	55	115	95	2168.6
Great White	SeaWorld San Antonio	5	120	Steel	50	108	81.2	2562
Great White	Morey's Piers	0	120	Wood	50	110	100	3300
Green Lantern	Six Flags Great Adventure	4	180	Steel	63	154	130	2258
Green Lantern: First Flight	Six Flags Magic Mountain	3	90	Steel	50	113	100	1650
Griffon	Busch Gardens Williamsburg	2	180	Steel	71	205	205	3108
Grizzly	Kings Dominion	0	155	Wood	55	87	94	3150
Gwazi	Lion Park Resort	1	120	Steel	47.8	80.4	80	1942.3
Hagrid's Magical Creatures	Islands of Adventure	0	200	Steel	50	65	65	5053
Hakugei	Nagashima Spa Land	0	170	Steel	66.5	180	180	5443.6
Hangman	Wild Adventures	3	108	Steel	47	116.5	116	935
Harley Quinn Crazy Train	Six Flags Great Adventure	0	65	Steel	22.4	26.3	25	1181.1
Heidi The Ride	Plopsaland Belgium	0	90	Wood	44.3	72.2	67.3	2057.1
Helix	Liseberg	7	145	Steel	70	130	130	4313
Hochschaubahn	Wiener Prater	0	210	Wood	34.2	49.3	49	1476.4
Hollyhock and Roll	Kentucky Kingdom	0	50	Steel	21.7	27.9	28	679.1
Hot Wheels Nitro	Imagicaa	5	150	Steel	65.2	132	132	2800
Huracan	Belantis	5	90	Steel	52.8	105	105	1837.3
Hurler	Carowinds	0	120	Wood	50	75	83	3157
Hurricane	Race City PCB	0	86	Steel	35	59	59	1427
Hydra the Revenge	Dorney Park & Wildwater Kingdom	7	155	Steel	53	95	105	3198
Hyper Coaster	Land of Legends	0	180	Steel	70.2	167.4	164	4199
Hyperia	Thorpe Park	0	90	Steel	80	236	236	2635
Hyperion	Energylandia	0	155	Steel	88.5	252	252	4534
Icon	Pleasure Beach Resort	2	161	Steel	52.8	88.5	82	3750
Il Tempo Extra Gigante	Hunderfossen Eventyrpark	0	90	Steel	40.4	82	82	1755.3
Incredible Hulk	Universal Studios Islands of Adventure	7	135	Steel	67	110	104.9	3700
Incredicoaster	Disney California Adventure Park	1	156	Steel	55	108	108	6072
Inflaming Beatles	Suzhou Yangcheng Peninsula Theme Park	0	140	Steel	32.4	64	64	1640.4
Infusion	Pleasure Beach Resort	5	83	Steel	49.7	109.3	109	2260.5
Intimidator	Carowinds	0	210	Steel	75	232	211	5316
InvadR	Busch Gardens Williamsburg	0	95	Wood	48	74	74	2200
Invertigo	California's Great America	6	108	Steel	43.5	138	138	1322
Iron Dragon	Cedar Point	0	120	Steel	40	76	76	2800
Iron Gwazi	Busch Gardens Tampa Bay	2	110	Steel	76	206	206	4075
Iron Menace	Dorney Park & Wildwater Kingdom	4	90	Steel	64	160	152	2169
Iron Rattler	Six Flags Fiesta Texas	1	110	Steel	70	179	171	3266
Jack Rabbit	Kennywood	0	96	Wood	45	40	70	2132
Jaguar!	Knott's Berry Farm	0	120	Steel	35	65	45	2602
Jersey Devil Coaster	Six Flags Great Adventure	3	150	Steel	57.7	130	130	3000
Jet Coaster	Tochinoki Family Land	0	180	Steel	41.3	54.2	54	2339.3
Joker	Six Flags Mexico	0	111	Steel	31	53	27	1351
Joker	Six Flags Great Adventure	0	63	Steel	38	120	54	1019
Jolly Rancher Remix	Hersheypark	3	108	Steel	47	116.5	116	935
Joris en de Draak	Efteling	0	180	Wood	31.1	55.8	55.8	2720
Joyride	PowerPark	0	75	Steel	31	52.5	52.5	918.7
Judge Roy Scream	Six Flags Over Texas	0	90	Wood	45	71	65	2670
Jul's RollerSkates	Julianatoren	0	104	Steel	21.7	27.9	28	679.1
Jungle Trailblazer	Fantawild Dreamland	0	90	Wood	54.1	111.6	91.8	3989.5
Jungle Trailblazer	Oriental Heritage	1	150	Wood	55.2	106	104	3264.4
Jungle Trailblazer	Fantawild Asian Legend	0	130	Wood	54.1	108.3	100.8	3198.8
Junior Coaster	Gero Land	0	66	Steel	28.5	42.7	43	1099.1
Jurassic World VelociCoaster	Universal Studios Hollywood	4	155	Steel	70	155	155	4700
Juvelen	Djurs Sommerland	1	90	Steel	56.5	98.4	98.4	2296
K2	Karls Erlebnis-Dorf Elstal	0	200	Steel	37.3	78.7	42.7	1738.8
Kaffeekannen-Express	Karls Erlebnis-Dorf Rövershagen	0	154	Steel	18.6	26.9	6.6	652.9
Katun	Mirabilandia	6	142	Steel	64.6	164	147.6	3937
Kawasemi	Tobu Zoo Park	0	90	Steel	52.8	101.7	98.4	2477
Kenny's Forest Flyer	Dreamworld	0	90	Steel	26	48.6	49	1122
Kilaueya	Six Flags Mexico	0	105	Steel	43.5	65.6	66	1600
Kingda Ka	Six Flags Great Adventure	1	28	Steel	128	456	418	3118
Kondaa	Walibi Belgium	0	90	Steel	70.2	164	164	3937
Kong	Six Flags Discovery Kingdom	5	96	Steel	49.7	109.3	85	2260.5
Kopermijn	Drievliet Family Park	0	95	Steel	28	49.3	49	1213.9
Kraken	SeaWorld Orlando	7	122	Steel	65	149	144	4177
Krampus Expédition	Nigloland	0	240	Steel	49.1	91.9	91.9	1968.5
Kráter	Parque del Café	3	60	Steel	52	100	100	1246
Kumali	Flamingo Land	4	92	Steel	54.9	117.8	111.8	2201.4
Kumba	Busch Gardens Tampa Bay	7	174	Steel	60	143	135	3978
Kvasten	Gröna Lund	0	63	Steel	34.2	65.6	65.6	1295.9
Käpt'n Jack's Wilde Maus	Eifelpark	0	94	Steel	28	49.3	49.3	1213.9
Kärnan	Hansa-Park	0	180	Steel	77.4	240	227	3900
La Vibora	Six Flags Over Texas	0	120	Steel	50	60	57	2050
Lady Bird Coaster	New Reoma World	0	150	Steel	21.8	28.8	29	912.1
Laff Trakk	Hersheypark	0	120	Steel	30	50	50	1500
Launch Coaster	Colourful Yunnan Paradise	4	150	Steel	62.1	118.1	118	3464.5
Lech Coaster	Energylandia	2	180	Steel	60	165	153	3907
Legend	Holiday World	0	120	Wood	59	99	113	4042
Leviathan	Canada's Wonderland	0	128	Steel	92	306	306	5486
Light-Speed Coaster	Hot Go Park - Happy Jungle World	4	130	Steel	49.7	108.3	95.2	2624.7
Lightning Racer	Hersheypark	0	140	Wood	51.1	91.6	90	3393
Lightning Rod	Dollywood	0	130	Wood	73	168	165	3800
Lisebergbanan	Liseberg	0	180	Steel	54.1	98.4	98.4	4035
Loch Ness Monster	Busch Gardens Williamsburg	2	130	Steel	60	130	114.2	3240
Loco Motion	St. Louis Union Station	0	117	Steel	15.5	16.7	17	403.5
Lost Gravity	Walibi Holland	2	143	Steel	54.1	105	105	2231
Loup-Garou	Walibi Belgium	0	125	Wood	49.7	91.8	77.1	3395.7
Magnum XL-200	Cedar Point	0	120	Steel	72	205	194.7	5106
Mako	SeaWorld Orlando	0	180	Steel	73	200	200	4760
Mamba	Worlds of Fun	0	180	Steel	75	205	205	5600
Mammut	Gardaland	0	165	Steel	31.1	45.9	46	3264.4
Manta	SeaWorld Orlando	4	155	Steel	56	140	113	3359
Manta	SeaWorld San Diego	0	120	Steel	43	30	54	2800
Matterhorn Blitz	Europa Park	0	185	Steel	35	52.5	53	1256.6
Maverick	Cedar Point	2	150	Steel	70	105	100	4450
Max & Moritz	Efteling	0	120	Steel	27.3	46.9	46.9	1706
Maya Adventure	Formosan Aboriginal Culture Village	5	96	Steel	49.7	109.3	85	2260.5
Medusa	Six Flags Great Adventure	7	140	Steel	61	142	132	3985
Medusa	Six Flags Discovery Kingdom	7	195	Steel	65	150	150	3937
Medusa Steel Coaster	Six Flags Mexico	7	180	Steel	63	150	141	3985
Megablitz	Wiener Prater	0	90	Steel	43.5	62.3	62	1804.5
Mighty Canadian Minebuster	Canada's Wonderland	0	122	Wood	55.9	90	87	3828
Millennium Force	Cedar Point	0	140	Steel	93	310	300	6595
Mind Eraser	Six Flags America	5	96	Steel	49.7	109.3	85	2260.5
Mine Blower	Fun Spot America	1	90	Wood	48.5	83	80.5	2290
Mine Express	Discovery World	0	66	Steel	28.5	42.7	43	1099.1
Mine Expressen	Fårup Sommerland	0	66	Steel	28.5	42.7	43	1099.1
Mine Train Ulven	Bakken	0	70	Steel	40.4	60.7	61	1312
Montu	Busch Gardens Tampa Bay	7	180	Steel	60	150	128	3983
Mr. Freeze	Six Flags Over Texas	1	55	Steel	70	218	200	1300
Mr. Freeze Reverse Blast	Six Flags St. Louis	1	55	Steel	70	218	200	1300
Muntanya Russa	Tibidabo	0	120	Steel	49.7	82	101.7	2339.2
Mystery Mine	Dollywood	2	150	Steel	43.5	85.3	85	1804.5
Mystic Timbers	Kings Island	0	150	Wood	53	109	109	3265
NDH Flying Lion Coaster	Nandaihe International Amusement Center	4	130	Steel	49.7	108.3	95.2	2624.7
Nefeskesen	Vialand	6	105	Steel	56	140	140	2520
Nemesis Inferno	Thorpe Park	4	103	Steel	47.8	95.2	92	2460.7
Nemesis Reborn	Alton Towers	4	80	Steel	50	42.6	104	2349
Nessie	Hansa-Park	1	130	Steel	49.1	85.3	85.3	2431.1
New Mexico Rattler	Cliff's Amusement Park	0	75	Wood	47	80	75	2750
New Revolution	Six Flags Magic Mountain	1	132	Steel	55	113	113	3457
New Texas Giant	Six Flags Over Texas	0	205	Steel	65	153	147	4200
Nighthawk	Carowinds	5	180	Steel	51	115	115	2766
Ninja	Six Flags Magic Mountain	0	195	Steel	55	55	55	2700
Nitro	Six Flags Great Adventure	0	140	Steel	80	230	215	5394
Now You See Me: High Roller	Motiongate	0	103	Steel	43.5	55.8	56	1702.8
Oblivion	Alton Towers	0	75	Steel	68	65	180	1222
Odyssey	Fantasy Island	5	172	Steel	62	167	141	2923.2
Oki Doki	Bobbejaanland	0	62	Steel	36	53.5	54	1430.4
Orion	Kings Island	0	180	Steel	91	287	300	5321
Outlaw	Adventureland	0	120	Wood	48	67	67	2800
Outlaw Run	Silver Dollar City	3	87	Wood	68	107	162	2937
PAW Patrol To The Rescue	Mirabilandia	0	108	Steel	21.3	19.7	19.7	442.9
Pandemonium	Six Flags Over Texas	0	111	Steel	31	53	27	1351
Pandemonium	Six Flags St. Louis	0	90	Steel	31	48	27	1351
Pantheon	Busch Gardens Williamsburg	4	90	Steel	73	180	180	3327
Pantherian	Kings Dominion	0	180	Steel	90	305	300	5100
Patriot	Worlds of Fun	4	138	Steel	60	149	123	3081
Patriot	California's Great America	2	134	Steel	45	91	91	1920
Pepsi Orange Streak	Nickelodeon Universe	0	150	Steel	30	60	40	2680
Phaethon	Gyeongju World	6	140	Steel	55.9	147.7	148	3280.8
Phantom's Revenge	Kennywood	0	117	Steel	85	160	228	3200
Phoenix	Knoebels Amusement Resort	0	120	Wood	45	78	72	3200
Pierre de Tonnerre	Parc du Petit Prince	0	90	Steel	18.6	23	23	711.9
Pikajuna	Linnanmäki	0	95	Steel	23	23	23	961.3
Pine Tree Rocket	Fantawild Wonderland	0	56	Steel	28.6	38.4	38	833.3
Pipeline: The Surf Coaster	SeaWorld Orlando	1	110	Steel	60	110	110	2950
Piraten	Djurs Sommerland	0	120	Steel	37.3	82	82	2756
Poseidon	Europa Park	0	240	Steel	43.5	75.5	76	2742.8
Powder Keg: A Blast in the Wilderness	Silver Dollar City	0	173	Steel	64	98	110	3506
Prairie Screamer	Prairie Playland	0	116	Steel	50	90	80	2600
Predator	Six Flags Darien Lake	0	110	Wood	50	95	87	3400
Prowler	Worlds of Fun	0	150	Wood	51.2	102.3	84.9	3074
Psyké Underground	Walibi Belgium	1	90	Steel	50	90	90	1300
Pulsar	Walibi Belgium	0	150	Steel	54	115	115	1640
Pyrenees	Parque Espana-Shima Spain Village	6	113	Steel	62.1	147.7	148	4048.6
Python	Efteling	2	100	Steel	39.8	73.8	73.8	1280
Pégase Express	Parc Astérix	0	180	Steel	32.3	68.8	68.8	3044.6
