RespondentID	AgeYrs	Sex	NumHHChildren	LaborForceStatus	EmployedFTPT	MultipleJobs	TotalHrsWorked	WorkHoursVary	Industry	Occupation	EnrolledHSCollege	EnrolledFTPT	NonworkAloneMin	ChildcareMin	EldercareMin	FamilyMin	FriendsMin
20240101241571	35	Male	0	Employed - At Work	Full-time	No	50	No	Wholesale and retail trade	Sales and office occupations	Not enrolled	NA	330	0	0	0	0
20240101241573	70	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	482	0	0	105	0
20240101241579	41	Female	0	Employed - At Work	Part-time	No	NA	Yes	Professional and business services	Sales and office occupations	Not enrolled	NA	440	0	0	0	90
20240101241580	68	Female	0	Employed - At Work	Part-time	No	20	No	Wholesale and retail trade	Production, transportation, and material moving occupations	NA	NA	442	0	0	165	0
20240101241607	70	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	870	0	0	0	0
20240101241610	41	Male	0	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Construction and maintenance occupations	Not enrolled	NA	630	0	0	0	0
20240101241612	57	Female	0	Employed - At Work	Full-time	No	45	No	Educational and health services	Sales and office occupations	NA	NA	320	0	0	30	0
20240101241623	49	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	540	0	0	245	0
20240101241624	72	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	960	0	0	0	0
20240101241637	64	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	390	0	0	397	0
20240101241674	47	Male	2	Employed - Absent	Full-time	No	NA	Yes	Construction	Management, professional, and related occupations	Not enrolled	NA	530	945	0	660	220
20240101241692	37	Female	1	Employed - At Work	Full-time	No	40	No	Educational and health services	Service occupations	Not enrolled	NA	225	45	0	73	0
20240101241703	80	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	955	0
20240101241713	78	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	900	0	0	0	0
20240101241724	34	Male	0	Employed - At Work	Full-time	No	48	No	Transportation and utilities	Sales and office occupations	Not enrolled	NA	345	0	0	0	0
20240101241733	80	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	365	0	0	73	0
20240101241777	27	Female	1	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	College	Full-time	90	670	0	710	0
20240101241796	26	Female	0	Employed - At Work	Full-time	Yes	60	No	Manufacturing	Sales and office occupations	Not enrolled	NA	405	0	0	60	15
20240101241818	52	Male	1	Employed - At Work	Full-time	No	40	No	Financial activities	Management, professional, and related occupations	NA	NA	260	0	0	115	0
20240101241819	72	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	713	0	0	142	0
20240101241828	41	Male	1	Unemployed - Looking	NA	NA	NA	NA	NA	NA	Not enrolled	NA	540	0	0	360	0
20240101241848	73	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	735	0	0	0	0
20240101241853	36	Female	0	Employed - At Work	Full-time	No	38	No	Professional and business services	Sales and office occupations	College	Part-time	340	0	0	0	0
20240101241868	36	Female	3	Employed - At Work	Full-time	No	NA	Yes	Agriculture, forestry, fishing, and hunting	Farming, fishing, and forestry occupations	Not enrolled	NA	63	733	0	815	0
20240101241872	85	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	505	0	0	240	0
20240101241895	42	Female	1	Unemployed - Looking	NA	NA	NA	NA	NA	NA	Not enrolled	NA	565	40	250	305	0
20240101241899	75	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	545	0	0	335	0
20240101241900	43	Female	0	Employed - At Work	Part-time	No	34	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	140	0	0	505	0
20240101241905	36	Female	0	Employed - At Work	Full-time	No	37	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	172	0	0	245	0
20240101241907	33	Male	1	Employed - At Work	Full-time	No	40	No	Manufacturing	Management, professional, and related occupations	Not enrolled	NA	165	30	0	330	0
20240101241916	62	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	510	0	0	180	0
20240101241920	32	Male	0	Employed - At Work	Full-time	No	40	No	Manufacturing	Management, professional, and related occupations	Not enrolled	NA	285	0	0	0	95
20240101241936	42	Female	3	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Management, professional, and related occupations	Not enrolled	NA	65	515	0	246	0
20240101241948	28	Female	0	Employed - At Work	Full-time	No	40	No	Public administration	Service occupations	Not enrolled	NA	195	0	0	0	0
20240101241951	44	Female	4	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	156	180	0	710	0
20240101241986	68	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	185	0	0	375	0
20240101241990	58	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	510	0	0	270	0
20240101242001	80	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	128	0	70	684	0
20240101242003	38	Female	0	Employed - At Work	Full-time	No	60	No	Transportation and utilities	Production, transportation, and material moving occupations	Not enrolled	NA	702	0	0	208	0
20240101242010	78	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	720	0
20240101242020	78	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	730	0	110	0	0
20240101242060	85	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	300	0	0	490	0
20240101242065	63	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	703	0	0	110	0
20240101242073	70	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	960	0	0	0	0
20240101242093	59	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	718	0	0	0	242
20240101242124	50	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	660	0	0	250	0
20240101242165	59	Male	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	NA	NA	365	0	0	600	0
20240101242179	25	Male	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	312	0	0	0	20
20240101242180	35	Male	2	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	30	0	0	880	250
20240101242186	69	Male	0	Employed - At Work	Part-time	No	6	No	Financial activities	Management, professional, and related occupations	NA	NA	650	0	0	315	0
20240101242207	48	Female	0	Employed - At Work	Full-time	No	50	No	Leisure and hospitality	Management, professional, and related occupations	Not enrolled	NA	495	0	0	410	0
20240101242210	37	Female	0	Employed - At Work	Full-time	No	40	No	Public administration	Management, professional, and related occupations	Not enrolled	NA	375	0	0	0	0
20240101242212	32	Male	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	30	0	0	0	0
20240101242217	30	Male	0	Employed - At Work	Full-time	No	50	No	Educational and health services	Management, professional, and related occupations	College	Part-time	326	0	0	0	0
20240101242218	49	Male	0	Employed - At Work	Full-time	No	40	No	Public administration	Service occupations	Not enrolled	NA	60	0	0	265	0
20240101242228	71	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	900	0
20240101242275	67	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	241	0	799	0	0
20240101242285	68	Male	0	Employed - At Work	Part-time	No	8	No	Information	Management, professional, and related occupations	NA	NA	240	0	0	550	120
20240101242291	65	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	420	0	0	270	280
20240101242294	34	Male	1	Employed - At Work	Full-time	No	40	No	Manufacturing	Construction and maintenance occupations	Not enrolled	NA	0	0	0	850	0
20240101242298	80	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	720	0	0	120	0
20240101242316	32	Male	0	Employed - At Work	Full-time	No	40	No	Public administration	Management, professional, and related occupations	Not enrolled	NA	30	0	0	210	0
20240101242334	25	Female	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	50	0	0	0	0
20240101242359	32	Female	0	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Management, professional, and related occupations	Not enrolled	NA	140	0	0	270	0
20240101242361	52	Female	2	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	433	469	0	44	0
20240101242362	35	Female	5	Unemployed - Looking	NA	NA	NA	NA	NA	NA	Not enrolled	NA	211	809	0	629	0
20240101242363	42	Male	2	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	180	125	0	110	0
20240101242366	33	Female	3	Employed - At Work	Full-time	No	35	No	Educational and health services	Service occupations	Not enrolled	NA	97	265	0	335	0
20240101242378	70	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	720	0	0	0	0
20240110230822	32	Male	0	Employed - At Work	Full-time	No	40	No	Educational and health services	Service occupations	Not enrolled	NA	505	0	0	0	0
20240110230840	56	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	610	0	0	410	0
20240110232026	64	Female	1	Employed - At Work	Full-time	No	38	No	Leisure and hospitality	Service occupations	NA	NA	30	0	0	120	50
20240110232091	40	Female	0	Employed - At Work	Full-time	Yes	37	No	Other services	Service occupations	Not enrolled	NA	516	0	0	0	0
20240111230012	59	Female	0	Employed - At Work	Part-time	No	25	No	Wholesale and retail trade	Sales and office occupations	NA	NA	100	0	0	0	0
20240111230059	36	Male	1	Employed - At Work	Full-time	No	40	No	Public administration	Sales and office occupations	Not enrolled	NA	60	753	0	672	0
20240111230069	40	Female	2	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	120	135	0	525	0
20240111230085	39	Female	3	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	475	543	0	500	0
20240111230092	57	Female	0	Employed - Absent	Full-time	No	38	No	Educational and health services	Management, professional, and related occupations	NA	NA	445	0	5	570	0
20240111230132	17	Female	1	Employed - At Work	Part-time	Yes	4	No	Educational and health services	Sales and office occupations	High school	Full-time	25	0	0	185	0
20240111230142	20	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	College	Full-time	120	0	0	0	0
20240111230168	15	Female	6	Employed - At Work	Part-time	No	10	No	Leisure and hospitality	Service occupations	High school	Full-time	355	135	0	280	0
20240111230187	16	Female	1	Not in labor force	NA	NA	NA	NA	NA	NA	High school	Full-time	570	0	0	165	0
20240111230201	18	Male	0	Employed - Absent	Part-time	No	20	No	Other services	Sales and office occupations	College	Full-time	285	0	0	495	0
20240111230203	19	Female	1	Employed - At Work	Full-time	No	NA	Yes	Financial activities	Sales and office occupations	Not enrolled	NA	90	330	0	330	330
20240111230212	23	Male	0	Employed - At Work	Part-time	No	30	No	Leisure and hospitality	Sales and office occupations	Not enrolled	NA	655	0	0	0	30
20240111230220	23	Male	0	Employed - At Work	Full-time	No	40	No	Wholesale and retail trade	Construction and maintenance occupations	Not enrolled	NA	660	0	0	0	0
20240111230240	24	Female	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Service occupations	Not enrolled	NA	340	0	0	0	157
20240111230248	24	Male	1	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	40	100	0	1010	0
20240111230264	22	Male	0	Employed - At Work	Full-time	No	40	No	Construction	Construction and maintenance occupations	Not enrolled	NA	435	0	0	0	0
20240111230298	20	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	College	Full-time	594	0	0	0	0
20240111230322	24	Male	0	Employed - At Work	Full-time	No	40	No	Financial activities	Sales and office occupations	Not enrolled	NA	40	0	0	0	265
20240111230325	24	Male	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	85	0	0	665	0
20240111230327	17	Male	2	Not in labor force	NA	NA	NA	NA	NA	NA	High school	Full-time	265	0	0	70	135
20240111230529	67	Female	2	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	380	60	0	480	0
20240111230571	29	Male	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	15	0	0	195	0
20240111230576	39	Male	0	Employed - At Work	Full-time	No	45	No	Manufacturing	Sales and office occupations	Not enrolled	NA	820	0	0	0	0
20240111230582	51	Male	2	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	780	0
20240111230600	57	Female	0	Employed - At Work	Full-time	No	50	No	Educational and health services	Management, professional, and related occupations	NA	NA	689	0	0	136	0
20240111230614	38	Female	1	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	65	645	0	759	0
20240111230639	61	Male	0	Employed - At Work	Full-time	No	60	No	Transportation and utilities	Production, transportation, and material moving occupations	NA	NA	210	0	0	180	0
20240111230640	67	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	435	0	0	525	220
20240111230646	55	Female	0	Employed - At Work	Full-time	No	40	No	Financial activities	Sales and office occupations	NA	NA	130	0	0	710	0
20240111230652	70	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	930	0	0	0	0
20240111230657	80	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	635	0	0	0	0
20240111230659	71	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	870	0	0	0	0
20240111230671	77	Male	1	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	345	0	0	495	0
20240111230674	68	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	580	0	0	0	0
20240111230676	79	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	730	0	0	83	0
20240111230681	36	Male	1	Employed - At Work	Full-time	No	40	No	Public administration	Service occupations	Not enrolled	NA	60	0	840	210	0
20240111230696	49	Male	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	120	0	100	685	0
20240111230722	30	Male	1	Employed - At Work	Full-time	No	40	No	Agriculture, forestry, fishing, and hunting	Farming, fishing, and forestry occupations	Not enrolled	NA	425	0	0	440	0
20240111230768	57	Male	2	Employed - At Work	Full-time	No	40	No	Public administration	Management, professional, and related occupations	NA	NA	240	600	0	540	0
20240111230777	63	Female	0	Employed - At Work	Full-time	No	40	No	Manufacturing	Management, professional, and related occupations	NA	NA	796	0	0	0	129
20240111230779	28	Male	0	Employed - At Work	Full-time	No	56	No	Construction	Construction and maintenance occupations	Not enrolled	NA	0	0	0	360	0
20240111230781	79	Male	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	835	0	0	365	0
20240111230795	46	Female	0	Employed - At Work	Full-time	No	40	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	390	0	0	480	0
20240111230803	75	Female	0	Not in labor force	NA	NA	NA	NA	NA	NA	NA	NA	0	0	0	525	0
20240111230813	57	Female	0	Employed - At Work	Full-time	No	35	No	Financial activities	Sales and office occupations	NA	NA	146	0	0	375	90
20240111230818	49	Female	0	Employed - At Work	Full-time	No	36	No	Educational and health services	Service occupations	Not enrolled	NA	278	0	0	5	0
20240111230827	39	Female	3	Employed - At Work	Full-time	No	40	No	Manufacturing	Sales and office occupations	Not enrolled	NA	350	304	0	90	0
20240111230862	53	Female	0	Employed - At Work	Part-time	No	15	No	Professional and business services	Management, professional, and related occupations	NA	NA	175	0	0	365	0
20240111230864	39	Female	2	Employed - At Work	Part-time	No	32	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	90	251	0	420	0
20240111230868	71	Female	0	Employed - Absent	Part-time	No	NA	Yes	Educational and health services	Management, professional, and related occupations	NA	NA	250	0	0	260	0
20240111230878	37	Male	0	Employed - At Work	Full-time	No	95	No	Leisure and hospitality	Management, professional, and related occupations	Not enrolled	NA	210	0	0	0	0
20240111230921	25	Female	0	Employed - At Work	Full-time	Yes	46	No	Educational and health services	Management, professional, and related occupations	College	Full-time	0	0	0	260	0
20240111230922	34	Male	2	Employed - At Work	Full-time	No	45	No	Educational and health services	Management, professional, and related occupations	Not enrolled	NA	30	385	0	710	0
20240111230924	44	Female	0	Employed - At Work	Full-time	No	40	No	Financial activities	Management, professional, and related occupations	Not enrolled	NA	495	0	0	0	0
20240111230984	41	Male	0	Employed - At Work	Full-time	No	40	No	Construction	Construction and maintenance occupations	Not enrolled	NA	505	0	0	0	0
20240111230985	35	Male	2	Employed - Absent	Part-time	No	10	No	Professional and business services	Management, professional, and related occupations	Not enrolled	NA	60	360	0	795	0
20240111231006	30	Female	2	Not in labor force	NA	NA	NA	NA	NA	NA	Not enrolled	NA	155	0	0	452	0
20240111231008	64	Female	0	Employed - At Work	Full-time	No	40	No	Professional and business services	Sales and office occupations	NA	NA	120	0	0	735	0
